Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,SPRING_temp,SUMMER_temp,SUMMER_before_temp
46,Lycaena phlaeas,Buckinghamshire,VC,8,1919,NA,14.347,84.087,1.677,3.962,7.874057769775391,14.786957740783691,14.92969799041748
49,Polyommatus bellargus,Isle of Wight,VC,6,1920,female,15.256,85.236,1.815,5.119,9.81011962890625,14.635139465332031,15.409346580505373
53,Polyommatus bellargus,Isle of Wight,VC,6,1920,female,14.724,83.831,2.286,5.047,9.81011962890625,14.635139465332031,15.409346580505373
54,Polyommatus bellargus,Isle of Wight,VC,6,1920,female,15.898,96.098,1.814,5.418,9.81011962890625,14.635139465332031,15.409346580505373
57,Polyommatus bellargus,East Sussex,VC,8,1920,male,14.816,88.341,1.666,6.013,9.60887622833252,14.451945304870604,14.850976943969728
74,Aricia agestis,Kent,UA,9,1920,NA,12.521,56.645,1.276,3.358,9.698071479797363,14.585707664489746,15.047733306884766
16,Polyommatus icarus,Oxfordshire,VC,9,1920,male,13.478,67.668,1.615,4.149,8.969852447509766,13.825846672058104,14.719118118286133
36,Polyommatus icarus,Berkshire,VC,9,1920,female,13.63,69.841,1.614,5.142,9.141718864440918,13.957682609558104,14.831768035888672
35,Celastrina argiolus,Oxfordshire,VC,8,1920,male,15.23,93.209,1.251,6.129,8.969852447509766,13.825846672058104,14.719118118286133
96,Celastrina argiolus,Devon,UA,5,1920,female,14.211,77.544,1.448,4.94,8.838430404663086,13.744552612304688,14.65009307861328
30,Favonius quercus,Oxfordshire,VC,7,1920,male,16.262,111.851,1.661,5.778,8.969852447509766,13.825846672058104,14.719118118286133
37,Polyommatus icarus,Oxfordshire,VC,8,1921,female,13.502,77.104,1.844,4.526,8.833576202392578,16.36679458618164,13.825846672058104
41,Polyommatus icarus,Berkshire,VC,9,1921,female,12.79,63.205,1.592,4.63,8.94064998626709,16.458335876464844,13.957682609558104
100,Cupido minimus,Kent,UA,8,1921,female,9.784,37.254,1.106,4.343,9.342955589294434,16.54010581970215,14.585707664489746
7,Polyommatus icarus,Hampshire,UA,8,1922,female,13.745,71.566,1.489,4.4,7.966046810150147,14.012883186340332,16.540786743164063
8,Polyommatus icarus,Hampshire,UA,8,1922,female,13.446,70.687,1.446,4.379,7.966046810150147,14.012883186340332,16.540786743164063
14,Polyommatus icarus,Hampshire,UA,8,1922,female,13.955,71.826,1.551,3.982,7.966046810150147,14.012883186340332,16.540786743164063
15,Polyommatus icarus,Hampshire,UA,8,1922,female,14.577,78.617,1.635,4.927,7.966046810150147,14.012883186340332,16.540786743164063
79,Celastrina argiolus,Surrey,VC,8,1922,female,14.834,92.19,1.629,5.741,8.129881858825684,14.284923553466797,16.793827056884766
31,Favonius quercus,Oxfordshire,VC,7,1922,female,15.003,94.164,1.639,5.256,7.6079325675964355,13.583993911743164,16.36679458618164
32,Favonius quercus,Oxfordshire,VC,7,1922,female,17.45,125.668,2.053,5.278,7.6079325675964355,13.583993911743164,16.36679458618164
29,Lycaena phlaeas,Denbighshire,VC,8,1922,NA,15.489,93.188,2.326,4.903,6.237075328826904,11.902510643005373,14.187122344970703
91,Lycaena phlaeas,Oxfordshire,VC,8,1922,NA,14.209,79.674,1.439,3.699,7.6079325675964355,13.583993911743164,16.36679458618164
92,Lycaena phlaeas,Oxfordshire,VC,9,1922,NA,13.427,71.991,1.85,4.401,7.6079325675964355,13.583993911743164,16.36679458618164
30,Polyommatus icarus,Berkshire,VC,6,1923,female,15.134,83.701,2.033,5.281,7.876452922821045,15.287090301513672,13.749001502990724
117,Polyommatus icarus,Isle of Wight,VC,8,1923,male,14.721,82.353,1.663,4.827,8.763886451721191,15.83637523651123,14.536802291870115
47,Celastrina argiolus,Bedfordshire,VC,5,1923,female,14.914,89.382,1.463,5.661,7.887609958648682,15.37389087677002,13.905214309692385
52,Celastrina argiolus,Bedfordshire,VC,5,1923,male,14.933,85.551,1.272,5.788,7.887609958648682,15.37389087677002,13.905214309692385
70,Celastrina argiolus,Oxfordshire,VC,4,1923,female,13.682,74.133,1.474,5.328,7.693222999572754,15.13129997253418,13.583993911743164
40,Favonius quercus,Oxfordshire,VC,7,1923,female,14.963,88.335,1.98,4.345,7.693222999572754,15.13129997253418,13.583993911743164
41,Favonius quercus,Oxfordshire,VC,7,1923,female,15.366,108.571,2.252,5.778,7.693222999572754,15.13129997253418,13.583993911743164
30,Lycaena phlaeas,Buckinghamshire,VC,8,1923,NA,12.802,61.724,1.341,4.213,7.852140426635742,15.27595043182373,13.79848289489746
97,Favonius quercus,Hampshire,UA,7,1924,male,16.113,116.513,1.655,6.31,7.910555839538574,14.548028945922852,15.459457397460938
76,Polyommatus bellargus,Hampshire,UA,9,1925,female,14.95,89.662,1.952,5.359,7.843276500701904,15.938953399658203,14.548028945922852
80,Polyommatus icarus,Somerset,UA,8,1926,female,13.233,61.991,1.459,4.275,8.538562774658203,15.579667091369627,15.80090618133545
113,Polyommatus icarus,Cornwall,UA,6,1926,male,14.735,80.456,1.57,5.638,8.940650939941406,15.40573787689209,15.271305084228516
114,Polyommatus icarus,Cornwall,UA,6,1926,male,14.527,79.281,1.815,5.23,8.940650939941406,15.40573787689209,15.271305084228516
115,Polyommatus icarus,Cornwall,UA,6,1926,female,15.06,84.792,1.593,5.249,8.940650939941406,15.40573787689209,15.271305084228516
116,Polyommatus icarus,Cornwall,UA,6,1926,female,16.076,95.27,2.366,5.319,8.940650939941406,15.40573787689209,15.271305084228516
3,Lycaena phlaeas,Oxfordshire,VC,8,1926,NA,14.815,90.277,1.949,4.651,8.289868354797363,15.325928688049316,15.632115364074709
4,Lycaena phlaeas,Oxfordshire,VC,8,1926,NA,14.902,92.168,2.473,3.396,8.289868354797363,15.325928688049316,15.632115364074709
46,Aricia agestis,Somerset,UA,6,1927,NA,12.541,59.072,1.389,4.543,9.148333549499512,14.702024459838867,15.579667091369627
47,Aricia agestis,Somerset,UA,6,1927,NA,13.297,69.096,1.31,5.952,9.148333549499512,14.702024459838867,15.579667091369627
53,Aricia agestis,Somerset,UA,6,1927,NA,12.124,58.177,1.414,4.883,9.148333549499512,14.702024459838867,15.579667091369627
79,Polyommatus icarus,Oxfordshire,VC,8,1927,male,14.634,76.218,1.562,5.097,8.734968185424805,14.381149291992188,15.325928688049316
1,Lycaena phlaeas,Oxfordshire,VC,8,1927,NA,15.017,88.321,1.655,4.402,8.734968185424805,14.381149291992188,15.325928688049316
2,Lycaena phlaeas,Oxfordshire,VC,8,1927,NA,14.458,83.835,1.53,5.532,8.734968185424805,14.381149291992188,15.325928688049316
8,Lycaena phlaeas,Oxfordshire,VC,8,1927,NA,14.226,76.701,1.551,4.513,8.734968185424805,14.381149291992188,15.325928688049316
21,Lycaena phlaeas,Surrey,VC,8,1928,NA,14.7,81.546,1.886,5.909,8.544221878051758,15.660367965698242,14.957530975341797
52,Aricia agestis,Devon,UA,8,1929,NA,11.62,54.432,1.434,4.82,8.019131660461426,14.371931076049805,14.605009078979492
59,Aricia agestis,Devon,UA,8,1929,NA,10.629,42.413,1.275,3.845,8.019131660461426,14.371931076049805,14.605009078979492
60,Aricia agestis,Devon,UA,9,1929,NA,11.133,47.732,1.215,3.705,8.019131660461426,14.371931076049805,14.605009078979492
27,Lycaena phlaeas,Surrey,VC,8,1929,NA,14.265,77.928,1.655,4.905,8.128355026245117,15.528718948364258,15.660367965698242
6,Polyommatus bellargus,East Sussex,VC,8,1930,female,15.404,88.206,1.843,5.127,8.36357307434082,15.86135196685791,15.361957550048828
7,Polyommatus bellargus,East Sussex,VC,8,1930,female,16.009,98.391,1.938,5.518,8.36357307434082,15.86135196685791,15.361957550048828
8,Polyommatus bellargus,East Sussex,VC,8,1930,male,16.376,93.94,1.825,6.341,8.36357307434082,15.86135196685791,15.361957550048828
14,Polyommatus bellargus,East Sussex,VC,8,1930,female,14.417,79.558,1.518,4.721,8.36357307434082,15.86135196685791,15.361957550048828
16,Polyommatus bellargus,East Sussex,VC,8,1930,female,15.68,90.801,1.839,5.467,8.36357307434082,15.86135196685791,15.361957550048828
17,Polyommatus bellargus,East Sussex,VC,8,1930,male,16.68,110.023,1.839,7.311,8.36357307434082,15.86135196685791,15.361957550048828
53,Polyommatus icarus,Surrey,VC,7,1930,male,16.112,92.392,1.718,5.472,8.388903617858887,15.984638214111328,15.528718948364258
54,Polyommatus icarus,Surrey,VC,7,1930,male,15.2,89.039,1.572,5.345,8.388903617858887,15.984638214111328,15.528718948364258
55,Polyommatus icarus,Surrey,VC,7,1930,female,14.13,74.738,2.032,3.731,8.388903617858887,15.984638214111328,15.528718948364258
56,Polyommatus icarus,Surrey,VC,7,1930,female,12.889,63.311,1.551,3.796,8.388903617858887,15.984638214111328,15.528718948364258
19,Lycaena phlaeas,Surrey,VC,6,1930,NA,13.963,74.86,1.551,5.301,8.388903617858887,15.984638214111328,15.528718948364258
20,Lycaena phlaeas,Surrey,VC,6,1930,NA,14.579,80.841,1.467,4.861,8.388903617858887,15.984638214111328,15.528718948364258
22,Lycaena phlaeas,Surrey,VC,8,1930,NA,15.696,99.027,2.118,3.963,8.388903617858887,15.984638214111328,15.528718948364258
26,Lycaena phlaeas,West Sussex,VC,8,1930,NA,13.328,73.109,1.634,4.4,8.354273796081543,15.898531913757324,15.33265209197998
70,Polyommatus bellargus,Kent,UA,8,1931,male,14.343,78.012,1.554,5.537,7.905757427215576,15.280003547668455,15.90722942352295
71,Polyommatus bellargus,Kent,UA,8,1931,female,14.579,79.589,1.594,4.9,7.905757427215576,15.280003547668455,15.90722942352295
18,Lycaena phlaeas,Isle of Wight,VC,6,1932,NA,14.411,87.603,2.285,4.212,7.803138256072998,16.24031639099121,15.375828742980955
72,Polyommatus bellargus,Surrey,VC,5,1933,female,14.123,81.203,1.952,5.776,9.675432205200195,17.4425106048584,16.272010803222656
90,Aricia agestis,Kent,UA,8,1933,NA,13.047,68.237,1.434,4.801,9.521918296813965,17.176942825317383,16.207550048828125
81,Polyommatus icarus,Kent,UA,8,1933,female,13.053,63.471,1.458,4.603,9.521918296813965,17.176942825317383,16.207550048828125
5,Lycaena phlaeas,West Sussex,VC,9,1933,NA,14.522,84.948,1.928,4.652,9.521252632141112,17.153017044067383,15.99122714996338
16,Lycaena phlaeas,Surrey,VC,9,1933,NA,13.139,65.504,1.258,4.631,9.675432205200195,17.4425106048584,16.272010803222656
17,Lycaena phlaeas,Surrey,VC,9,1933,NA,14.75,89.8,1.844,4.023,9.675432205200195,17.4425106048584,16.272010803222656
24,Lycaena phlaeas,Surrey,VC,9,1933,NA,14.161,78.07,1.53,4.966,9.675432205200195,17.4425106048584,16.272010803222656
28,Lycaena phlaeas,Surrey,VC,8,1933,NA,14.357,77.659,1.697,5.133,9.675432205200195,17.4425106048584,16.272010803222656
81,Celastrina argiolus,Somerset,UA,7,1934,female,15.064,88.381,1.216,5.147,8.170988082885742,16.122570037841797,16.598054885864258
84,Celastrina argiolus,Cambridgeshire,VC,7,1934,female,16.075,94.398,1.448,5.69,8.261018753051758,16.26757049560547,17.209312438964844
72,Favonius quercus,Hampshire,UA,7,1934,female,15.371,101.988,2.25,5.457,8.401580810546875,16.36244773864746,17.076377868652344
48,Aricia agestis,Oxfordshire,VC,8,1935,NA,11.41,44.875,1.112,3.454,7.818802833557129,16.373151779174805,16.08527183532715
84,Polyommatus icarus,Cumberland,VC,8,1935,female,14.703,79.929,1.399,5.161,6.793895244598389,13.890953063964844,13.933626174926758
62,Celastrina argiolus,Cambridgeshire,VC,5,1935,male,15.618,96.813,1.293,5.83,8.203771591186523,16.95781898498535,16.26757049560547
9,Lycaena phlaeas,Oxfordshire,VC,8,1935,NA,13.399,66.157,1.299,4.61,7.818802833557129,16.373151779174805,16.08527183532715
23,Lycaena phlaeas,Argyll,VC,7,1935,NA,13.745,67.255,1.509,5.113,6.398044109344482,12.32472038269043,12.762145042419434
27,Polyommatus bellargus,Hampshire,UA,9,1936,male,15.119,88.212,1.893,6.537,8.45129680633545,15.416949272155762,16.50346565246582
35,Polyommatus bellargus,Hampshire,UA,9,1936,male,15.383,92.168,1.623,6.154,8.45129680633545,15.416949272155762,16.50346565246582
64,Polyommatus bellargus,Hampshire,UA,9,1936,male,14.528,78.807,1.574,5.059,8.45129680633545,15.416949272155762,16.50346565246582
68,Polyommatus bellargus,Hampshire,UA,9,1936,male,14.335,80.267,1.494,6.254,8.45129680633545,15.416949272155762,16.50346565246582
68,Polyommatus icarus,Buckinghamshire,VC,5,1936,female,15.153,81.631,1.79,5.466,8.094023704528809,15.29875659942627,16.547826766967773
82,Celastrina argiolus,Hampshire,UA,5,1936,female,15.039,82.929,1.371,4.474,8.45129680633545,15.416949272155762,16.50346565246582
61,Lycaena phlaeas,Cornwall,UA,8,1938,NA,16.221,96.452,1.53,5.573,9.131743431091309,14.40563678741455,15.32634162902832
99,Aricia agestis,Cumberland,VC,6,1940,NA,12.954,56.753,1.374,4.68,7.319939136505127,13.535650253295898,13.636645317077637
39,Celastrina argiolus,Hampshire,UA,7,1940,female,15.082,92.072,1.528,4.772,9.20791721343994,15.98667049407959,15.366595268249512
41,Celastrina argiolus,Hampshire,UA,7,1940,female,16.756,109.059,1.463,6.918,9.20791721343994,15.98667049407959,15.366595268249512
87,Celastrina argiolus,Hertfordshire,VC,5,1940,male,12.39,66.287,1.552,5.302,9.03796100616455,15.805227279663086,15.416833877563477
2,Cupido minimus,Cambridgeshire,VC,5,1940,male,11.538,50.5,1.082,4.139,9.045126914978027,15.806547164916992,15.55524730682373
8,Cupido minimus,Cambridgeshire,VC,5,1940,female,11.672,50.295,1.367,4.158,9.045126914978027,15.806547164916992,15.55524730682373
14,Cupido minimus,Cambridgeshire,VC,5,1940,female,10.943,45.668,1.253,3.285,9.045126914978027,15.806547164916992,15.55524730682373
26,Cupido minimus,Cambridgeshire,VC,5,1940,male,12.549,57.934,1.158,4.367,9.045126914978027,15.806547164916992,15.55524730682373
82,Polyommatus icarus,Middlesex,VC,8,1942,male,13.178,67.681,1.397,5.631,9.089973449707031,16.573427200317383,16.750158309936523
83,Polyommatus icarus,Middlesex,VC,8,1942,female,13.297,64.74,1.562,4.933,9.089973449707031,16.573427200317383,16.750158309936523
83,Lycaena phlaeas,Middlesex,VC,8,1942,NA,12.614,61.038,1.254,4.872,9.089973449707031,16.573427200317383,16.750158309936523
84,Lycaena phlaeas,Middlesex,VC,9,1942,NA,13.417,67.081,1.788,3.741,9.089973449707031,16.573427200317383,16.750158309936523
49,Aricia agestis,Berkshire,VC,5,1943,NA,13.262,65.515,1.369,5.535,9.739923477172852,15.680181503295898,15.52126407623291
93,Cupido minimus,Berkshire,VC,7,1943,female,11.582,49.221,1.222,5.947,9.739923477172852,15.680181503295898,15.52126407623291
42,Celastrina argiolus,Hertfordshire,VC,8,1944,male,16.121,107.202,1.294,7.067,8.689422607421875,16.0468807220459,15.90122127532959
78,Favonius quercus,Hertfordshire,VC,8,1944,female,15.658,111.674,2.509,5.043,8.689422607421875,16.0468807220459,15.90122127532959
84,Favonius quercus,Hertfordshire,VC,8,1944,female,15.487,98.996,1.682,5.098,8.689422607421875,16.0468807220459,15.90122127532959
85,Favonius quercus,Hertfordshire,VC,8,1944,female,15.504,102.077,2.146,4.836,8.689422607421875,16.0468807220459,15.90122127532959
35,Cupido minimus,Hertfordshire,VC,6,1944,male,12.2,56.662,1.024,4.994,8.689422607421875,16.0468807220459,15.90122127532959
42,Cupido minimus,Hertfordshire,VC,6,1944,male,11.289,50.484,1.007,4.56,8.689422607421875,16.0468807220459,15.90122127532959
22,Celastrina argiolus,Hampshire,UA,4,1945,female,14.796,87.248,1.506,4.452,10.111772537231444,15.687749862670898,15.973194122314451
28,Celastrina argiolus,Hampshire,UA,4,1945,male,15.886,102.398,1.506,5.408,10.111772537231444,15.687749862670898,15.973194122314451
31,Celastrina argiolus,Hampshire,UA,5,1945,female,16.091,99.114,1.526,4.856,10.111772537231444,15.687749862670898,15.973194122314451
17,Cupido minimus,Hampshire,UA,6,1945,male,10.21,40.245,1.008,4.025,10.111772537231444,15.687749862670898,15.973194122314451
27,Cupido minimus,Hampshire,UA,6,1945,male,11.269,48.707,1.044,4.5,10.111772537231444,15.687749862670898,15.973194122314451
10,Lycaena phlaeas,East Lothian,VC,8,1945,NA,14.86,80.139,1.908,5.51,7.446831226348877,13.032630920410156,12.638639450073242
11,Lycaena phlaeas,East Lothian,VC,8,1945,NA,15.239,90.407,2.284,3.898,7.446831226348877,13.032630920410156,12.638639450073242
52,Lycaena phlaeas,Hampshire,UA,5,1945,NA,13.951,73.982,1.651,4.428,10.111772537231444,15.687749862670898,15.973194122314451
26,Polyommatus bellargus,Hertfordshire,VC,9,1946,male,14.293,76.921,1.262,5.026,8.24267292022705,14.98554515838623,15.833483695983888
28,Polyommatus bellargus,Hampshire,UA,9,1946,male,16.199,99.181,1.803,6.378,8.532389640808105,14.755868911743164,15.687749862670898
36,Polyommatus bellargus,Hertfordshire,VC,9,1946,male,15.991,96.387,1.871,5.748,8.24267292022705,14.98554515838623,15.833483695983888
63,Polyommatus bellargus,Hertfordshire,VC,9,1946,male,13.674,69.711,1.374,4.72,8.24267292022705,14.98554515838623,15.833483695983888
65,Polyommatus bellargus,Hampshire,UA,9,1946,male,15.11,86.372,1.633,5.696,8.532389640808105,14.755868911743164,15.687749862670898
69,Polyommatus bellargus,Hertfordshire,VC,9,1946,male,15.038,83.409,1.715,5.517,8.24267292022705,14.98554515838623,15.833483695983888
86,Celastrina argiolus,Hampshire,UA,8,1946,male,14.411,77.297,1.034,5.821,8.532389640808105,14.755868911743164,15.687749862670898
63,Aricia agestis,Middlesex,VC,5,1947,NA,12.608,60.75,1.275,5.262,9.44248390197754,18.30547142028809,15.692405700683594
83,Celastrina argiolus,Hampshire,UA,5,1947,female,13.886,80.9,1.371,4.81,8.664612770080566,17.396770477294922,14.755868911743164
85,Celastrina argiolus,Hampshire,UA,5,1947,male,14.112,78.508,1.19,4.681,8.664612770080566,17.396770477294922,14.755868911743164
80,Favonius quercus,Suffolk,UA,8,1947,female,14.927,88.547,2.017,4.474,8.641864776611328,17.59323501586914,15.214909553527832
11,Cupido minimus,Bedfordshire,VC,8,1947,female,11.096,43.422,1.139,3.457,8.626640319824219,17.385957717895508,14.903997421264648
49,Lycaena phlaeas,Hampshire,UA,9,1947,NA,14.073,76.895,1.467,4.463,8.664612770080566,17.396770477294922,14.755868911743164
50,Lycaena phlaeas,Buckinghamshire,VC,6,1947,NA,13.995,75.735,1.509,4.026,8.51269245147705,17.246681213378906,14.71845817565918
64,Lycaena phlaeas,Hampshire,UA,9,1947,NA,14.72,85.791,1.951,3.75,8.664612770080566,17.396770477294922,14.755868911743164
85,Lycaena phlaeas,Kent,UA,9,1947,NA,12.798,66.033,1.356,4.767,8.840606689453125,17.606950759887695,15.10446834564209
86,Lycaena phlaeas,Kent,UA,9,1947,NA,13.523,74.212,1.439,5.302,8.840606689453125,17.606950759887695,15.10446834564209
58,Polyommatus bellargus,Kent,UA,6,1948,male,15.577,94.63,1.764,6.486,9.65591812133789,15.235581398010254,17.606950759887695
81,Polyommatus bellargus,Kent,UA,6,1948,male,14.02,79.616,1.733,5.319,9.65591812133789,15.235581398010254,17.606950759887695
54,Aricia agestis,Berkshire,VC,5,1948,NA,12.365,55.347,1.275,5.657,9.45767593383789,14.784261703491213,17.20539093017578
61,Aricia agestis,Berkshire,VC,5,1948,NA,12.035,52.345,1.374,5.003,9.45767593383789,14.784261703491213,17.20539093017578
61,Polyommatus icarus,Argyll,VC,7,1948,male,15.089,83.409,1.397,4.646,7.108395099639893,11.777140617370604,13.383702278137209
72,Polyommatus icarus,Argyll,VC,7,1948,male,15.136,84.09,1.973,5.158,7.108395099639893,11.777140617370604,13.383702278137209
75,Polyommatus icarus,Argyll,VC,7,1948,female,15.546,90.593,1.685,5.118,7.108395099639893,11.777140617370604,13.383702278137209
48,Celastrina argiolus,Kent,UA,5,1948,female,14.685,92.22,1.802,5.096,9.65591812133789,15.235581398010254,17.606950759887695
50,Celastrina argiolus,Kent,UA,5,1948,female,15.748,95.125,1.701,4.791,9.65591812133789,15.235581398010254,17.606950759887695
54,Celastrina argiolus,Middlesex,VC,7,1948,male,15.822,94.715,1.314,6.319,10.354852676391602,15.729774475097656,18.30547142028809
88,Celastrina argiolus,Berkshire,VC,5,1948,female,13.838,75.753,1.371,3.802,9.45767593383789,14.784261703491213,17.20539093017578
89,Celastrina argiolus,Gwynedd,UA,4,1948,male,14.614,86.506,1.526,6.025,8.135732650756836,12.763203620910645,14.510604858398438
55,Lycaena phlaeas,Argyll,VC,7,1948,NA,13.612,64.056,1.321,4.632,7.108395099639893,11.777140617370604,13.383702278137209
52,Polyommatus bellargus,Surrey,VC,8,1949,female,15.362,90.862,1.715,6.312,8.78429889678955,16.918704986572266,15.239425659179688
79,Polyommatus bellargus,Surrey,VC,8,1949,female,14.25,78.823,1.514,6.036,8.78429889678955,16.918704986572266,15.239425659179688
88,Aricia agestis,Surrey,VC,8,1949,NA,13.209,70.281,1.435,5.975,8.78429889678955,16.918704986572266,15.239425659179688
13,Favonius quercus,Dorset,VC,8,1949,female,16.435,113.649,1.866,5.46,8.714385986328125,16.496246337890625,14.885796546936035
63,Lycaena phlaeas,Hampshire,UA,10,1949,NA,12.96,70.852,2.034,4.386,8.772603034973145,16.816173553466797,15.110679626464844
65,Lycaena phlaeas,Hampshire,UA,9,1949,NA,14.722,84.847,2.285,4.57,8.772603034973145,16.816173553466797,15.110679626464844
88,Lycaena phlaeas,Kent,UA,8,1949,NA,12.638,61.851,1.336,4.521,8.54362964630127,16.529695510864258,15.235581398010254
29,Celastrina argiolus,Hampshire,UA,4,1950,male,15.871,94.597,1.229,5.724,9.178628921508787,16.095067977905273,16.816173553466797
34,Celastrina argiolus,West Sussex,VC,4,1950,male,15.755,102.148,1.215,7.017,9.178587913513184,16.273075103759766,16.59046745300293
92,Favonius quercus,Berkshire,VC,6,1950,female,14.446,93.086,2.199,6.362,8.733445167541504,15.840011596679688,16.573158264160156
93,Favonius quercus,Berkshire,VC,6,1950,female,15.086,106.349,2.147,6.129,8.733445167541504,15.840011596679688,16.573158264160156
98,Favonius quercus,Berkshire,VC,6,1950,male,16.621,123.125,1.888,6.206,8.733445167541504,15.840011596679688,16.573158264160156
99,Favonius quercus,Berkshire,VC,6,1950,male,16.475,120.997,1.94,4.914,8.733445167541504,15.840011596679688,16.573158264160156
82,Lycaena phlaeas,Kent,UA,5,1950,NA,13.912,73.491,2.096,3.864,9.011357307434082,16.647735595703125,16.529695510864258
93,Aricia agestis,Dumfriesshire,VC,6,1951,NA,12.22,54.748,1.196,5.119,4.572729587554932,12.507062911987305,13.216334342956545
94,Aricia agestis,Dumfriesshire,VC,6,1951,NA,12.15,53.447,1.176,5.338,4.572729587554932,12.507062911987305,13.216334342956545
97,Aricia agestis,Dumfriesshire,VC,7,1951,NA,12.207,55.485,1.394,4.402,4.572729587554932,12.507062911987305,13.216334342956545
45,Celastrina argiolus,Kent,UA,5,1951,male,15.837,98.955,1.337,5.325,7.505451202392578,15.461175918579102,16.647735595703125
49,Celastrina argiolus,Kent,UA,8,1951,male,14.839,97.871,1.464,5.198,7.505451202392578,15.461175918579102,16.647735595703125
51,Celastrina argiolus,Kent,UA,9,1951,female,14.99,88.538,1.399,5.279,7.505451202392578,15.461175918579102,16.647735595703125
12,Cupido minimus,Dorset,VC,7,1951,female,11.953,57.242,1.158,4.923,7.380273342132568,14.98833179473877,15.54434585571289
56,Aricia agestis,Kent,UA,8,1952,NA,13.546,72.456,1.534,5.577,9.80625057220459,16.45474624633789,15.461175918579102
89,Lycaena phlaeas,Somerset,UA,7,1952,NA,12.979,65.467,1.531,4.85,9.477906227111816,15.522966384887695,14.805109024047852
3,Polyommatus bellargus,Dorset,VC,5,1953,male,14.221,83.819,1.939,5.197,8.55102252960205,15.23525047302246,15.719036102294922
4,Polyommatus bellargus,Dorset,VC,5,1953,male,15.489,94.119,1.864,6.312,8.55102252960205,15.23525047302246,15.719036102294922
59,Polyommatus bellargus,Dorset,VC,5,1953,male,14.987,84.534,1.654,5.119,8.55102252960205,15.23525047302246,15.719036102294922
60,Polyommatus bellargus,Dorset,VC,5,1953,female,13.19,68.137,2.052,4.722,8.55102252960205,15.23525047302246,15.719036102294922
98,Aricia agestis,Mid Perthshire,VC,6,1953,NA,12.307,54.757,1.175,5.201,5.500929355621338,11.9146089553833,11.423495292663574
53,Lycaena phlaeas,Mid Perthshire,VC,8,1953,NA,14.524,77.461,1.655,5.469,5.500929355621338,11.9146089553833,11.423495292663574
56,Lycaena phlaeas,Fife,UA,9,1953,NA,14.383,82.072,2.054,4.654,7.333836078643799,13.55473518371582,13.50437831878662
74,Lycaena phlaeas,East Sussex,VC,8,1953,NA,13.482,71.229,1.521,4.46,8.7826385498046875,15.580934524536133,16.163949966430664
82,Cupido minimus,Surrey,VC,6,1954,male,11.382,47.441,1.073,4.689,8.355030059814453,14.499923706054688,15.63077449798584
25,Cupido minimus,West Sussex,VC,6,1955,female,11.172,49.416,1.196,4.367,7.346038818359375,16.591733932495117,14.37084674835205
41,Cupido minimus,West Sussex,VC,6,1955,female,12.018,54.235,1.272,4.177,7.346038818359375,16.591733932495117,14.37084674835205
72,Lycaena phlaeas,East Sussex,VC,7,1955,NA,12.838,62.649,1.768,4.397,7.249720096588135,16.361604690551758,14.430896759033203
34,Cupido minimus,West Sussex,VC,6,1956,male,10.123,40.833,1.025,4.139,8.2282257080078125,14.501626014709473,16.591733932495117
80,Polyommatus bellargus,Berkshire,VC,6,1957,male,14.206,77.893,1.474,5.341,9.322376251220703,15.96470832824707,14.241872787475586
55,Aricia agestis,Oxfordshire,VC,6,1957,NA,11.839,50.025,1.096,4.721,9.16494083404541,15.780669212341309,14.102991104125977
106,Polyommatus icarus,West Sussex,VC,7,1957,male,14.402,78.044,1.215,5.076,9.571375846862791,16.27759552001953,14.501626014709473
36,Celastrina argiolus,West Sussex,VC,8,1957,male,16.325,101.314,1.488,5.194,9.571375846862791,16.27759552001953,14.501626014709473
81,Aricia agestis,Buckinghamshire,VC,8,1958,NA,12.63,58.127,1.275,5.199,7.394731521606445,15.28487777709961,15.929723739624023
85,Polyommatus icarus,Devon,UA,5,1958,female,15.036,83.408,1.932,4.788,7.243567943572998,14.336353302001951,15.261363983154297
10,Cupido minimus,Hampshire,UA,7,1958,female,10.361,37.863,0.968,3.095,7.539623260498047,15.237417221069336,16.147499084472656
75,Aricia agestis,Surrey,VC,5,1959,NA,11.829,55.389,1.454,4.801,9.857656478881836,17.081911087036133,15.532721519470217
81,Lycaena phlaeas,Middlesex,VC,5,1959,NA,14.213,77.347,1.582,5.036,10.330612182617188,17.763269424438477,16.186973571777344
88,Polyommatus bellargus,Kent,UA,9,1960,female,14.657,81.225,1.55,5.445,9.20262336730957,15.42020320892334,16.99321174621582
97,Polyommatus bellargus,Kent,UA,9,1960,male,15.793,97.649,1.34,5.555,9.20262336730957,15.42020320892334,16.99321174621582
64,Polyommatus icarus,Hampshire,UA,8,1960,male,13.292,68.329,1.564,4.665,9.354312896728516,15.32421588897705,16.676546096801758
32,Celastrina argiolus,Hampshire,UA,8,1960,male,16.468,112.072,1.187,6.953,9.354312896728516,15.32421588897705,16.676546096801758
40,Celastrina argiolus,Hampshire,UA,7,1960,male,15.545,102.475,1.399,6.259,9.354312896728516,15.32421588897705,16.676546096801758
73,Lycaena phlaeas,Devon,UA,8,1961,NA,14.167,80.392,1.726,3.991,9.379239082336426,14.633212089538574,14.773470878601074
75,Polyommatus bellargus,Wiltshire,UA,6,1962,female,15.277,83.561,1.693,5.438,6.467517375946045,14.1082763671875,14.949101448059082
