decimalLatitude,decimalLongitude,Year,SPRING,SUMMER,SUMMER_before,SPRING_temp,SUMMER_temp,SUMMER_before_temp
51.7961,-0.6559,1900,SEASON_1900-04-16,SEASON_1900-07-16,SEASON_1899-07-16,7.062066982961787,15.972208119424549,16.87930565716095
51.7961,-0.6559,1898,SEASON_1898-04-16,SEASON_1898-07-16,SEASON_1897-07-16,7.3227026678217335,15.068678708113291,15.79868528914885
51.7961,-0.6559,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,7.429991038485992,14.295647878895252,15.782703245066504
50.5731,-4.9157,1946,SEASON_1946-04-16,SEASON_1946-07-16,SEASON_1945-07-16,9.200587749377652,14.032949983648946,15.03107473027046
50.8179,-2.2695,2005,SEASON_2005-04-16,SEASON_2005-07-16,SEASON_2004-07-16,9.154249083549619,16.2325599907946,16.261857336863063
50.8179,-2.2695,2004,SEASON_2004-04-16,SEASON_2004-07-16,SEASON_2003-07-16,9.225265161818317,16.261857336863063,17.12424522609664
50.7184,-3.5339,1948,SEASON_1948-04-16,SEASON_1948-07-16,SEASON_1947-07-16,9.648015441090894,14.681504526171418,16.132728436115638
50.7184,-3.5339,1949,SEASON_1949-04-16,SEASON_1949-07-16,SEASON_1948-07-16,8.756913306812574,16.160199574317186,14.681504526171418
51.1781,-4.6673,1949,SEASON_1949-04-16,SEASON_1949-07-16,SEASON_1948-07-16,8.499811564645315,15.67621809278012,14.104434999287417
51.6024,-0.6442,1924,SEASON_1924-04-16,SEASON_1924-07-16,SEASON_1923-07-16,7.918092839909954,14.658397230032095,15.410239548202044
51.1735,-0.1721,1923,SEASON_1923-04-16,SEASON_1923-07-16,SEASON_1922-07-16,8.279828639527327,15.531717746188416,14.229099442362616
52.3709,-1.265,1921,SEASON_1921-04-16,SEASON_1921-07-16,SEASON_1920-07-16,8.428365097242413,15.642492967253924,13.37656671473137
52.038412,0.730233,1920,SEASON_1920-04-16,SEASON_1920-07-16,SEASON_1919-07-16,9.701686247965547,14.53717041353987,15.075381027781065
52.038412,0.730233,1927,SEASON_1927-04-16,SEASON_1927-07-16,SEASON_1926-07-16,9.045345681671781,15.029526992552917,15.710124225727032
52.3709,-1.265,1920,SEASON_1920-04-16,SEASON_1920-07-16,SEASON_1919-07-16,8.507838869239569,13.37656671473137,14.064721698919895
52.3709,-1.265,1922,SEASON_1922-04-16,SEASON_1922-07-16,SEASON_1921-07-16,7.046303528775718,12.926043453264274,15.642492967253924
53.0831,-1.7859,1908,SEASON_1908-04-16,SEASON_1908-07-16,SEASON_1907-07-16,5.716448177426962,12.889548368057536,11.589681553434167
51.7961,-0.6559,1954,SEASON_1954-04-16,SEASON_1954-07-16,SEASON_1953-07-16,7.813019610917719,14.003182663589792,14.972593738051605
51.4852,-2.7679,1947,SEASON_1947-04-16,SEASON_1947-07-16,SEASON_1946-07-16,8.645423567633626,16.953430865702664,14.525295746877806
50.8765,-1.6315,1901,SEASON_1901-04-16,SEASON_1901-07-16,SEASON_1900-07-16,8.602968684240281,16.52531510458623,16.62695239472475
50.8765,-1.6315,1905,SEASON_1905-04-16,SEASON_1905-07-16,SEASON_1904-07-16,9.357913809415267,16.6250111545171,16.13756273348381
50.6807,-1.5232,1947,SEASON_1947-04-16,SEASON_1947-07-16,SEASON_1946-07-16,8.777173469034032,17.358396109582173,14.80930610549029
51.3509,0.8194,1912,SEASON_1912-04-16,SEASON_1912-07-16,SEASON_1911-07-16,9.708546425685801,15.155121485651678,17.527425470437827
50.5219,-4.8234,1904,SEASON_1904-04-16,SEASON_1904-07-16,SEASON_1903-07-16,8.256425126702851,14.923923706000123,14.167628251889202
50.5036,-4.6525,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,8.111577808324439,14.118331817367201,15.358282094446764
50.6807,-1.5232,1896,SEASON_1896-04-16,SEASON_1896-07-16,SEASON_1895-07-16,10.129341699676278,16.638746693623794,15.91705579670367
53.5276,-0.6512,1966,SEASON_1966-04-16,SEASON_1966-07-16,SEASON_1965-07-16,7.953039377376492,14.70681640854857,13.992058466147542
51.3896,1.3868,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,8.036945980210158,15.06864846268163,16.099435021508654
50.8765,-1.6315,1889,SEASON_1889-04-16,SEASON_1889-07-16,SEASON_1888-07-16,8.939947232270097,16.01482129777986,14.423007006428405
50.5935,-3.6726,1919,SEASON_1919-04-16,SEASON_1919-07-16,SEASON_1918-07-16,8.396251162736496,15.138987040054724,15.0363162103484
52.4129,0.7517,1947,SEASON_1947-04-16,SEASON_1947-07-16,SEASON_1946-07-16,8.577600887691112,17.280814692003563,14.873213737074524
50.5935,-3.6726,1930,SEASON_1930-04-16,SEASON_1930-07-16,SEASON_1929-07-16,8.535312520732822,15.404238036747872,14.740099904560573
53.5276,-0.6512,1970,SEASON_1970-04-16,SEASON_1970-07-16,SEASON_1969-07-16,7.607382939913143,15.64824816534421,15.439563032760347
50.5672,-2.446,1974,SEASON_1974-04-16,SEASON_1974-07-16,SEASON_1973-07-16,8.12430502272354,14.406202686915655,15.312076743744244
51.2052,-4.1268,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,7.770224485628919,14.460373191994583,15.825782798694819
51.2331,-1.2109,1928,SEASON_1928-04-16,SEASON_1928-07-16,SEASON_1927-07-16,8.186760729030876,15.058350391529242,14.503972145460473
50.8765,-1.6315,1914,SEASON_1914-04-16,SEASON_1914-07-16,SEASON_1913-07-16,9.61967677582312,16.168602273252635,15.35439422868298
53.5583,-3.0687,1924,SEASON_1924-04-16,SEASON_1924-07-16,SEASON_1923-07-16,7.354226126099728,14.240013226034833,14.60066738407954
51.7487,-3.3816,1902,SEASON_1902-04-16,SEASON_1902-07-16,SEASON_1901-07-16,6.105007940134601,12.670594014174478,14.07548114928692
51.2484,-0.7558,1931,SEASON_1931-04-16,SEASON_1931-07-16,SEASON_1930-07-16,7.968129836736154,15.092423524189966,15.889242996435147
50.5219,-4.8234,1906,SEASON_1906-04-16,SEASON_1906-07-16,SEASON_1905-07-16,8.028419588448795,15.238991958004002,15.320511909083935
50.6083,-1.9608,1926,SEASON_1926-04-16,SEASON_1926-07-16,SEASON_1925-07-16,9.016252700567215,16.093254205072032,16.198286619902955
