Sp,Latitude,Longitude,Month,Year,Sex,Wing_Length,BroodFocalUse,Temp
Coenonympha tullia,56.308939,-5.164915,8,1922,undetermined,17.533,Summer_before,12.09
Melanargia galathea,51.808155,-1.287024,7,1922,male,25.474,Summer_before,16.367
Melanargia galathea,51.808155,-1.287024,7,1922,male,23.369,Summer_before,16.367
Melanargia galathea,51.808155,-1.287024,7,1922,male,24.716,Summer_before,16.367
Melanargia galathea,51.808155,-1.287024,7,1922,male,22.863,Summer_before,16.367
Melanargia galathea,51.808155,-1.287024,7,1922,male,23.652,Summer_before,16.367
Melanargia galathea,51.808155,-1.287024,7,1922,female,25.478,Summer_before,16.367
Pararge aegeria,51.513961,-1.206343,7,1922,undetermined,22.154,Spring,7.759
Limenitis camilla,51.808155,-1.287024,7,1922,undetermined,28.595,Summer_before,16.367
Limenitis camilla,51.808155,-1.287024,7,1922,undetermined,29.752,Summer_before,16.367
Pyronia tithonus,50.840232,0.279193,8,1923,male,18.902,Summer_before,14.394
Pyronia tithonus,51.548796,-0.273039,7,1923,female,20.291,Summer_before,14.835
Aglais urticae,52.338685,0.13237,7,1923,undetermined,24.049,Spring,8.05
Aglais urticae,52.338685,0.13237,7,1923,undetermined,26.717,Spring,8.05
Limenitis camilla,51.067775,-1.28873,6,1923,undetermined,27.634,Summer_before,14.013
Limenitis camilla,51.067775,-1.28873,6,1923,undetermined,27.803,Summer_before,14.013
Argynnis paphia,50.761012,-3.810213,8,1924,male,32.995,Summer_before,14.964
Polygonia c-album,51.513961,-1.206343,7,1925,undetermined,21.174,Spring,7.713
Speyeria aglaja,51.2695,-0.373578,7,1925,undetermined,29.853,Spring,8.064
Speyeria aglaja,51.2695,-0.373578,7,1925,undetermined,27.833,Spring,8.064
Speyeria aglaja,51.2695,-0.373578,7,1925,undetermined,26.52,Spring,8.064
Limenitis camilla,51.067775,-1.28873,7,1925,undetermined,26.77,Summer_before,14.548
Melanargia galathea,51.548796,-0.273039,7,1926,female,22.682,Summer_before,16.663
Aglais io,51.099254,-2.938838,9,1926,undetermined,29.539,Summer,15.58
Aglais urticae,51.099254,-2.938838,8,1926,undetermined,25.017,Spring,8.539
Aglais urticae,51.099254,-2.938838,8,1926,undetermined,24.711,Spring,8.539
Maniola jurtina,51.099254,-2.938838,7,1927,male,23.183,Summer_before,15.58
Aglais io,51.099254,-2.938838,8,1927,undetermined,29.791,Summer,14.702
Argynnis paphia,51.067775,-1.28873,7,1927,female,36.115,Summer_before,15.719
Lasiommata megera,50.761012,-3.810213,8,1927,male,20.812,Summer,14.458
Speyeria aglaja,51.548796,-0.273039,7,1928,undetermined,30.762,Spring,8.953
Pyronia tithonus,51.525765,-3.766767,8,1928,female,18.554,Summer_before,14.181
Coenonympha tullia,56.522203,-4.055986,6,1928,undetermined,18.208,Summer_before,11.235
Limenitis camilla,50.840232,0.279193,6,1928,undetermined,29.213,Summer_before,14.995
Pyronia tithonus,50.761012,-3.810213,8,1929,female,20.692,Summer_before,14.605
Pyronia tithonus,50.761012,-3.810213,8,1929,male,18.591,Summer_before,14.605
Maniola jurtina,50.761012,-3.810213,8,1929,female,25.3,Summer_before,14.605
Maniola jurtina,50.761012,-3.810213,8,1929,female,24.801,Summer_before,14.605
Aglais io,50.761012,-3.810213,8,1929,undetermined,28.344,Summer,14.372
Argynnis paphia,50.761012,-3.810213,8,1929,male,31.563,Summer_before,14.605
Limenitis camilla,51.067775,-1.28873,6,1930,undetermined,26.85,Summer_before,15.23
Limenitis camilla,51.219673,0.73193,7,1930,undetermined,31.617,Summer_before,15.435
Limenitis camilla,51.219673,0.73193,7,1930,undetermined,30.001,Summer_before,15.435
Polygonia c-album,51.827269,-0.790141,8,1931,undetermined,21.346,Spring,7.582
Pyronia tithonus,51.067775,-1.28873,7,1931,male,18.838,Summer_before,15.794
Pyronia tithonus,51.067775,-1.28873,7,1931,female,20.675,Summer_before,15.794
Pyronia tithonus,51.067775,-1.28873,7,1931,female,20.559,Summer_before,15.794
Argynnis paphia,51.067775,-1.28873,8,1931,female,34.121,Summer_before,15.794
Aglais urticae,52.671298,0.953194,8,1931,undetermined,25.505,Spring,7.713
Melanargia galathea,50.761012,-3.810213,6,1932,male,23.137,Summer_before,14.24
Lasiommata megera,51.2695,-0.373578,8,1932,female,22.306,Summer,16.272
Melanargia galathea,51.099254,-2.938838,7,1934,male,26.557,Summer_before,16.598
Maniola jurtina,51.099254,-2.938838,7,1934,male,23.151,Summer_before,16.598
Maniola jurtina,51.099254,-2.938838,7,1934,female,24.619,Summer_before,16.598
Maniola jurtina,51.099254,-2.938838,7,1934,female,26.313,Summer_before,16.598
Argynnis paphia,52.338685,0.13237,7,1934,female,34.222,Summer_before,17.209
Argynnis paphia,52.338685,0.13237,8,1934,female,31.698,Summer_before,17.209
Speyeria aglaja,57.247803,-4.314882,7,1935,undetermined,26.919,Spring,4.701
Speyeria aglaja,57.247803,-4.314882,7,1935,undetermined,26.191,Spring,4.701
Pyronia tithonus,51.099254,-2.938838,6,1935,female,6.007,Summer_before,16.123
Maniola jurtina,51.808155,-1.287024,7,1935,male,22.345,Summer_before,16.085
Speyeria aglaja,57.247803,-4.314882,8,1936,undetermined,28.314,Spring,4.916
Speyeria aglaja,57.247803,-4.314882,8,1936,undetermined,30.466,Spring,4.916
Speyeria aglaja,57.247803,-4.314882,8,1936,undetermined,28.346,Spring,4.916
Pyronia tithonus,50.406361,-4.827447,8,1936,female,20.128,Summer_before,15.297
Pyronia tithonus,50.406361,-4.827447,8,1936,male,17.343,Summer_before,15.297
Maniola jurtina,51.808155,-1.287024,7,1936,female,24.229,Summer_before,16.373
Maniola jurtina,51.808155,-1.287024,7,1936,female,24.683,Summer_before,16.373
Argynnis paphia,51.067775,-1.28873,6,1936,female,33.373,Summer_before,16.503
Argynnis paphia,51.067775,-1.28873,6,1936,female,32.65,Summer_before,16.503
Speyeria aglaja,57.247803,-4.314882,8,1937,undetermined,26.701,Spring,4.56
Speyeria aglaja,57.247803,-4.314882,8,1937,undetermined,27.168,Spring,4.56
Melanargia galathea,52.333008,-1.58599,7,1937,male,24.176,Summer_before,14.854
Limenitis camilla,51.219673,0.73193,7,1937,undetermined,29.582,Summer_before,15.825
Aglais io,50.761012,-3.810213,8,1938,undetermined,28.821,Summer,14.271
Argynnis paphia,50.761012,-3.810213,8,1938,male,30.553,Summer_before,15.049
Speyeria aglaja,57.247803,-4.314882,8,1939,undetermined,29.046,Spring,5.188
Speyeria aglaja,57.247803,-4.314882,8,1939,undetermined,28.914,Spring,5.188
Speyeria aglaja,57.247803,-4.314882,7,1939,undetermined,28.029,Spring,5.188
Polygonia c-album,51.548796,-0.273039,7,1940,undetermined,24.626,Spring,9.756
Speyeria aglaja,56.308939,-5.164915,8,1940,undetermined,29.316,Spring,6.353
Melanargia galathea,51.880207,-1.946017,7,1940,female,26.729,Summer_before,15.007
Speyeria aglaja,57.247803,-4.314882,7,1941,undetermined,25.276,Spring,3.483
Maniola jurtina,50.406361,-4.827447,7,1942,female,18.867,Summer_before,14.793
Aglais urticae,55.199301,-3.472694,8,1943,undetermined,26.191,Spring,7.309
Speyeria aglaja,50.836456,-0.534602,5,1945,undetermined,26.998,Spring,10.102
Coenonympha tullia,54.649208,-3.225041,6,1945,undetermined,17.909,Summer_before,13.529
Coenonympha tullia,54.649208,-3.225041,6,1945,undetermined,18.797,Summer_before,13.529
Coenonympha tullia,54.649208,-3.225041,6,1945,undetermined,19.18,Summer_before,13.529
Melanargia galathea,51.067775,-1.28873,7,1945,female,26.861,Summer_before,15.973
Maniola jurtina,54.763053,-1.538116,8,1945,female,24.728,Summer_before,13.585
Maniola jurtina,54.763053,-1.538116,8,1945,female,23.962,Summer_before,13.585
Aglais io,51.067775,-1.28873,8,1945,undetermined,28.045,Summer,15.688
Aglais io,51.067775,-1.28873,8,1945,undetermined,30.944,Summer,15.688
Aglais urticae,51.219673,0.73193,8,1945,undetermined,25.48,Spring,10.295
Limenitis camilla,51.067775,-1.28873,7,1945,undetermined,29.249,Summer_before,15.973
Pyronia tithonus,51.513961,-1.206343,8,1946,male,17.863,Summer_before,15.492
Pyronia tithonus,51.099254,-2.938838,7,1946,male,19.143,Summer_before,15.154
Limenitis camilla,50.836456,-0.534602,7,1946,undetermined,27.876,Summer_before,15.773
Speyeria aglaja,51.219673,0.73193,7,1947,undetermined,32.707,Spring,8.841
Coenonympha tullia,57.247803,-4.314882,7,1947,undetermined,20.146,Summer_before,10.496
Coenonympha tullia,57.247803,-4.314882,7,1947,undetermined,20.147,Summer_before,10.496
Melanargia galathea,51.513961,-1.206343,7,1947,male,22.837,Summer_before,14.602
Melanargia galathea,51.513961,-1.206343,7,1947,male,22.888,Summer_before,14.602
Melanargia galathea,51.513961,-1.206343,7,1947,male,23.575,Summer_before,14.602
Argynnis paphia,51.219673,0.73193,7,1947,female,32.349,Summer_before,15.104
Lasiommata megera,51.548796,-0.273039,8,1947,female,24.183,Summer,18.305
Lasiommata megera,51.219673,0.73193,8,1947,female,22.888,Summer,17.607
Polygonia c-album,52.104172,-2.747236,8,1948,undetermined,26.627,Spring,8.983
Polygonia c-album,51.219673,0.73193,7,1948,undetermined,20.522,Spring,9.656
Pyronia tithonus,51.219673,0.73193,7,1948,male,19.448,Summer_before,17.607
Pyronia tithonus,51.219673,0.73193,7,1948,male,19.046,Summer_before,17.607
Melanargia galathea,51.219673,0.73193,7,1948,male,27.223,Summer_before,17.607
Melanargia galathea,51.219673,0.73193,7,1948,female,26.762,Summer_before,17.607
Maniola jurtina,51.525765,-3.766767,8,1948,female,22.159,Summer_before,15.914
Maniola jurtina,51.525765,-3.766767,8,1948,female,21.543,Summer_before,15.914
Maniola jurtina,51.525765,-3.766767,8,1948,male,22.258,Summer_before,15.914
Maniola jurtina,51.525765,-3.766767,8,1948,male,21.984,Summer_before,15.914
Aglais io,52.892868,-4.021067,8,1948,undetermined,25.904,Summer,12.763
Aglais io,52.892868,-4.021067,8,1948,undetermined,27.41,Summer,12.763
Aglais io,51.548796,-0.273039,7,1948,undetermined,27.059,Summer,15.73
Limenitis camilla,51.513961,-1.206343,7,1948,undetermined,28.484,Summer_before,17.205
Limenitis camilla,51.219673,0.73193,6,1948,undetermined,26.756,Summer_before,17.607
Polygonia c-album,51.808155,-1.287024,7,1949,undetermined,24.937,Spring,8.358
Coenonympha tullia,52.254042,-4.072587,6,1949,undetermined,20.155,Summer_before,13.026
Coenonympha tullia,52.254042,-4.072587,6,1949,undetermined,18.819,Summer_before,13.026
Coenonympha tullia,52.254042,-4.072587,6,1949,undetermined,20.174,Summer_before,13.026
Aglais io,57.259728,-6.413911,8,1949,undetermined,30.531,Summer,12.826
Limenitis camilla,51.067775,-1.28873,7,1949,undetermined,29.193,Summer_before,15.111
Coenonympha tullia,56.522203,-4.055986,7,1950,undetermined,19.177,Summer_before,12.325
Coenonympha tullia,52.641894,-2.714807,6,1950,undetermined,18.643,Summer_before,15.766
Coenonympha tullia,52.641894,-2.714807,6,1950,undetermined,18.525,Summer_before,15.766
Maniola jurtina,51.099254,-2.938838,8,1950,male,22.423,Summer_before,16.4
Aglais io,51.067775,-1.28873,7,1950,undetermined,31.696,Summer,16.095
Limenitis camilla,51.219673,0.73193,7,1950,undetermined,31.145,Summer_before,16.53
Speyeria aglaja,50.664945,-2.338924,7,1951,undetermined,29.235,Spring,7.38
Speyeria aglaja,50.664945,-2.338924,7,1951,undetermined,26.849,Spring,7.38
Speyeria aglaja,55.199301,-3.472694,7,1951,undetermined,30.878,Spring,4.573
Coenonympha tullia,56.522203,-4.055986,8,1951,undetermined,17.576,Summer_before,11.977
Maniola jurtina,50.664945,-2.338924,7,1951,male,23.861,Summer_before,15.544
Speyeria aglaja,51.827269,-0.790141,7,1952,undetermined,29.286,Spring,9.787
Pyronia tithonus,51.219673,0.73193,7,1952,male,16.816,Summer_before,15.461
Coenonympha tullia,56.522203,-4.055986,8,1952,undetermined,18.275,Summer_before,11.215
Coenonympha tullia,56.522203,-4.055986,8,1952,undetermined,19.233,Summer_before,11.215
Coenonympha tullia,56.522203,-4.055986,8,1952,undetermined,18.772,Summer_before,11.215
Melanargia galathea,51.827553,-2.119611,6,1952,male,25.663,Summer_before,14.809
Maniola jurtina,51.099254,-2.938838,7,1952,male,23.194,Summer_before,14.805
Argynnis paphia,51.513961,-1.206343,7,1952,female,34.354,Summer_before,15.017
Speyeria aglaja,52.338685,0.13237,7,1953,undetermined,27.924,Spring,8.596
Pyronia tithonus,51.067775,-1.28873,7,1953,male,19.002,Summer_before,16.113
Pyronia tithonus,51.067775,-1.28873,7,1953,male,19.17,Summer_before,16.113
Maniola jurtina,56.522203,-4.055986,6,1953,male,23.531,Summer_before,11.423
Argynnis paphia,54.383331,-0.831608,6,1953,female,30.02,Summer_before,14.568
Pyronia tithonus,52.641894,-2.714807,7,1954,female,21.603,Summer_before,14.552
Pararge aegeria,50.664945,-2.338924,8,1954,undetermined,23.285,Spring,8.285
Argynnis paphia,51.067775,-1.28873,8,1955,female,33.876,Summer_before,14.244
Limenitis camilla,51.808155,-1.287024,4,1955,undetermined,27.856,Summer_before,13.923
Coenonympha tullia,56.522203,-4.055986,8,1956,undetermined,18.019,Summer_before,13.037
Coenonympha tullia,56.522203,-4.055986,8,1956,undetermined,19.679,Summer_before,13.037
Coenonympha tullia,56.522203,-4.055986,8,1956,undetermined,19.276,Summer_before,13.037
Coenonympha tullia,56.522203,-4.055986,8,1956,undetermined,18.12,Summer_before,13.037
Maniola jurtina,52.323728,-3.409909,9,1956,female,23.908,Summer_before,14.954
Argynnis paphia,51.297115,-1.944608,5,1957,female,34.371,Summer_before,14.149
Maniola jurtina,51.2695,-0.373578,8,1958,female,23.638,Summer_before,16.412
Argynnis paphia,51.067775,-1.28873,7,1959,female,29.801,Summer_before,15.237
Aglais urticae,51.067775,-1.28873,6,1961,undetermined,24.251,Spring,9.681
Speyeria aglaja,53.844339,-2.611607,7,1963,undetermined,27.415,Spring,7.387
Melanargia galathea,51.067775,-1.28873,7,1963,female,25.893,Summer_before,14.499
Maniola jurtina,51.067775,-1.28873,7,1963,male,23.146,Summer_before,14.499
Aglais io,50.836456,-0.534602,8,1963,undetermined,29.821,Summer,14.858
Limenitis camilla,50.836456,-0.534602,7,1963,undetermined,28.771,Summer_before,14.468
Speyeria aglaja,51.2695,-0.373578,7,1964,undetermined,28.409,Spring,8.763
Pyronia tithonus,51.067775,-1.28873,7,1964,female,20.421,Summer_before,14.812
Pyronia tithonus,51.067775,-1.28873,7,1964,female,20.034,Summer_before,14.812
Aglais io,51.2695,-0.373578,8,1964,undetermined,27.023,Summer,15.818
Argynnis paphia,51.297115,-1.944608,7,1964,female,34.6,Summer_before,14.403
Aglais urticae,51.067775,-1.28873,7,1964,undetermined,24.184,Spring,8.627
Lasiommata megera,52.079349,-0.448281,8,1964,male,22.332,Summer,15.44
Lasiommata megera,50.761012,-3.810213,8,1964,female,22.663,Summer,14.569
Limenitis camilla,52.079349,-0.448281,7,1964,undetermined,31.426,Summer_before,14.651
Polygonia c-album,51.067775,-1.28873,7,1965,undetermined,21.075,Spring,8.349
Speyeria aglaja,53.844339,-2.611607,6,1965,undetermined,27.41,Spring,7.291
Speyeria aglaja,50.406361,-4.827447,7,1965,undetermined,25.795,Spring,8.526
Pyronia tithonus,51.067775,-1.28873,7,1965,male,18.354,Summer_before,15.587
Coenonympha tullia,52.641894,-2.714807,6,1965,undetermined,16.87,Summer_before,14.212
Melanargia galathea,51.827269,-0.790141,7,1965,female,27.967,Summer_before,15.331
Maniola jurtina,50.406361,-4.827447,9,1965,female,22.771,Summer_before,14.728
Aglais io,51.067775,-1.28873,8,1965,undetermined,30.67,Summer,14.505
Aglais io,51.067775,-1.28873,8,1965,undetermined,30.458,Summer,14.505
Aglais io,51.067775,-1.28873,8,1965,undetermined,31.936,Summer,14.505
Argynnis paphia,51.2695,-0.373578,7,1965,male,31.343,Summer_before,15.818
Argynnis paphia,51.297115,-1.944608,8,1965,female,33.407,Summer_before,15.055
Aglais urticae,56.308939,-5.164915,8,1965,undetermined,23.583,Spring,5.67
Limenitis camilla,51.297115,-1.944608,7,1965,undetermined,28.195,Summer_before,15.055
Limenitis camilla,51.297115,-1.944608,7,1965,undetermined,26.833,Summer_before,15.055
Limenitis camilla,51.297115,-1.944608,7,1965,undetermined,27.139,Summer_before,15.055
Limenitis camilla,51.067775,-1.28873,7,1965,undetermined,27.705,Summer_before,15.587
Speyeria aglaja,53.844339,-2.611607,6,1966,undetermined,25.625,Spring,7.274
Speyeria aglaja,54.649208,-3.225041,7,1966,undetermined,25.475,Spring,6.35
Speyeria aglaja,50.664945,-2.338924,7,1966,undetermined,27.693,Spring,8.55
Melanargia galathea,51.827269,-0.790141,7,1966,male,25.066,Summer_before,14.259
Maniola jurtina,51.067775,-1.28873,7,1966,male,20.015,Summer_before,14.505
Lasiommata megera,50.840232,0.279193,8,1966,male,21.695,Summer,15.355
Speyeria aglaja,56.522203,-4.055986,8,1967,undetermined,27.861,Spring,5.097
Melanargia galathea,50.836456,-0.534602,7,1967,male,23.693,Summer_before,15.258
Polygonia c-album,51.067775,-1.28873,7,1968,undetermined,21.92,Spring,8.166
Polygonia c-album,51.067775,-1.28873,7,1968,undetermined,21.209,Spring,8.166
Polygonia c-album,51.067775,-1.28873,7,1968,undetermined,23.165,Spring,8.166
Speyeria aglaja,57.247803,-4.314882,7,1968,undetermined,29.264,Spring,4.257
Coenonympha tullia,57.247803,-4.314882,7,1968,undetermined,19.641,Summer_before,11.237
Coenonympha tullia,52.641894,-2.714807,6,1968,undetermined,18.412,Summer_before,14.776
Melanargia galathea,51.067775,-1.28873,7,1968,male,22.77,Summer_before,15.651
Argynnis paphia,50.761012,-3.810213,8,1968,female,35.835,Summer_before,14.675
Polygonia c-album,51.067775,-1.28873,7,1969,undetermined,22.908,Spring,7.877
Polygonia c-album,50.836456,-0.534602,8,1969,undetermined,22.548,Spring,7.895
Speyeria aglaja,50.840232,0.279193,7,1969,undetermined,25.424,Spring,7.896
Speyeria aglaja,50.840232,0.279193,7,1969,undetermined,26.485,Spring,7.896
Speyeria aglaja,50.761012,-3.810213,7,1969,undetermined,26.134,Spring,7.586
Speyeria aglaja,50.761012,-3.810213,7,1969,undetermined,26.583,Spring,7.586
Melanargia galathea,50.664945,-2.338924,7,1969,male,22.568,Summer_before,15.018
Maniola jurtina,51.067775,-1.28873,7,1969,female,24.406,Summer_before,15.29
Argynnis paphia,50.761012,-3.810213,7,1969,male,33.958,Summer_before,14.604
Lasiommata megera,51.802337,-5.191642,8,1969,female,24.136,Summer,14.305
Lasiommata megera,51.219673,0.73193,8,1969,female,22.779,Summer,16.103
Limenitis camilla,53.113979,-0.249483,7,1969,undetermined,28.266,Summer_before,14.615
Polygonia c-album,50.836456,-0.534602,7,1970,undetermined,22.971,Spring,7.735
Polygonia c-album,50.836456,-0.534602,7,1970,undetermined,23.258,Spring,7.735
Polygonia c-album,50.836456,-0.534602,7,1970,undetermined,22.22,Spring,7.735
Pyronia tithonus,51.067775,-1.28873,7,1970,male,18.003,Summer_before,15.924
Pyronia tithonus,51.067775,-1.28873,7,1970,male,18.905,Summer_before,15.924
Pyronia tithonus,51.067775,-1.28873,7,1970,female,20.383,Summer_before,15.924
Aglais io,50.840232,0.279193,7,1970,undetermined,28.622,Summer,15.883
Aglais urticae,51.219673,0.73193,6,1970,undetermined,22.314,Spring,7.647
Aglais urticae,50.836456,-0.534602,6,1970,undetermined,26.006,Spring,7.735
Limenitis camilla,50.836456,-0.534602,6,1970,undetermined,29.296,Summer_before,15.983
Pyronia tithonus,51.067775,-1.28873,8,1971,female,19.131,Summer_before,15.952
Pyronia tithonus,51.219673,0.73193,7,1971,male,18.848,Summer_before,16.085
Pyronia tithonus,51.067775,-1.28873,7,1971,male,18.111,Summer_before,15.952
Melanargia galathea,50.406361,-4.827447,7,1971,male,24.153,Summer_before,15.084
Melanargia galathea,50.406361,-4.827447,7,1971,male,24.266,Summer_before,15.084
Melanargia galathea,51.219673,0.73193,8,1971,female,27.444,Summer_before,16.085
Maniola jurtina,51.067775,-1.28873,8,1971,male,20.661,Summer_before,15.952
Maniola jurtina,51.067775,-1.28873,8,1971,male,23.968,Summer_before,15.952
Maniola jurtina,51.067775,-1.28873,9,1971,male,22.928,Summer_before,15.952
Pararge aegeria,50.406361,-4.827447,8,1971,undetermined,23.374,Spring,8.179
Pararge aegeria,50.406361,-4.827447,8,1971,undetermined,21.872,Spring,8.179
Speyeria aglaja,58.087748,-4.156737,7,1972,undetermined,28.586,Spring,5.955
Pyronia tithonus,50.836456,-0.534602,8,1972,male,20.341,Summer_before,15.486
Pyronia tithonus,50.836456,-0.534602,8,1972,female,20.92,Summer_before,15.486
Melanargia galathea,51.297115,-1.944608,7,1972,male,24.596,Summer_before,15.043
Melanargia galathea,51.827269,-0.790141,7,1972,male,23.623,Summer_before,15.129
Maniola jurtina,51.219673,0.73193,7,1972,male,22.389,Summer_before,15.588
Maniola jurtina,51.808155,-1.287024,7,1972,female,26.034,Summer_before,15.04
Aglais io,56.308939,-5.164915,9,1972,undetermined,31.944,Summer,10.824
Aglais io,56.308939,-5.164915,9,1972,undetermined,31.656,Summer,10.824
Aglais io,56.308939,-5.164915,9,1972,undetermined,27.063,Summer,10.824
Argynnis paphia,51.513961,-1.206343,7,1972,female,33.408,Summer_before,15.208
Limenitis camilla,51.2695,-0.373578,7,1972,undetermined,28.724,Summer_before,15.618
Limenitis camilla,51.297115,-1.944608,7,1972,undetermined,29.231,Summer_before,15.043
Speyeria aglaja,51.067775,-1.28873,7,1973,undetermined,28.009,Spring,8.253
Speyeria aglaja,51.808155,-1.287024,7,1973,undetermined,25.722,Spring,7.873
Aglais urticae,51.067775,-1.28873,7,1973,undetermined,27.579,Spring,8.253
Limenitis camilla,51.067775,-1.28873,7,1973,undetermined,29.09,Summer_before,14.339
Limenitis camilla,51.2695,-0.373578,7,1973,undetermined,27.262,Summer_before,14.655
Limenitis camilla,51.2695,-0.373578,7,1973,undetermined,30.689,Summer_before,14.655
Limenitis camilla,51.067775,-1.28873,7,1973,undetermined,31.334,Summer_before,14.339
Polygonia c-album,50.836456,-0.534602,7,1974,undetermined,21.673,Spring,8.524
Polygonia c-album,51.219673,0.73193,7,1974,undetermined,20.515,Spring,8.571
Aglais io,51.2695,-0.373578,7,1975,undetermined,31.926,Summer,17.068
Aglais urticae,52.666388,-1.047445,8,1975,undetermined,26.227,Spring,7.021
Limenitis camilla,51.067775,-1.28873,7,1975,undetermined,26.406,Summer_before,14.911
Limenitis camilla,51.2695,-0.373578,7,1975,undetermined,31.147,Summer_before,15.191
Polygonia c-album,51.067775,-1.28873,8,1976,undetermined,22.275,Spring,8.37
Polygonia c-album,51.067775,-1.28873,8,1976,undetermined,22.191,Spring,8.37
Speyeria aglaja,51.2695,-0.373578,7,1976,undetermined,29.2,Spring,8.597
Speyeria aglaja,51.513961,-1.206343,6,1976,undetermined,28.487,Spring,8.188
Pyronia tithonus,51.067775,-1.28873,7,1976,female,21.06,Summer_before,16.914
Pyronia tithonus,51.2695,-0.373578,7,1976,male,18.154,Summer_before,17.068
Coenonympha tullia,52.892868,-4.021067,6,1976,undetermined,19.876,Summer_before,14.532
Coenonympha tullia,52.892868,-4.021067,6,1976,undetermined,19.414,Summer_before,14.532
Coenonympha tullia,52.892868,-4.021067,6,1976,undetermined,18.905,Summer_before,14.532
Melanargia galathea,51.297115,-1.944608,7,1976,female,26.483,Summer_before,16.732
Aglais io,51.067775,-1.28873,7,1976,undetermined,32.036,Summer,18.036
Pararge aegeria,51.2695,-0.373578,7,1976,undetermined,21.414,Spring,8.597
Pararge aegeria,51.2695,-0.373578,7,1976,undetermined,17.588,Spring,8.597
Speyeria aglaja,54.649208,-3.225041,7,1977,undetermined,26.558,Spring,6.506
Speyeria aglaja,54.649208,-3.225041,7,1977,undetermined,26.884,Spring,6.506
Pyronia tithonus,50.664945,-2.338924,8,1977,female,21.534,Summer_before,17.489
Melanargia galathea,51.297115,-1.944608,7,1977,female,24.529,Summer_before,17.683
Melanargia galathea,51.297115,-1.944608,7,1977,female,23.667,Summer_before,17.683
Limenitis camilla,51.067775,-1.28873,7,1977,undetermined,27.49,Summer_before,18.036
Limenitis camilla,51.067775,-1.28873,7,1977,undetermined,27.552,Summer_before,18.036
Limenitis camilla,51.067775,-1.28873,7,1977,undetermined,28.916,Summer_before,18.036
Speyeria aglaja,51.067775,-1.28873,7,1978,undetermined,26.941,Spring,8.236
Speyeria aglaja,51.067775,-1.28873,8,1978,undetermined,28.435,Spring,8.236
Speyeria aglaja,55.199301,-3.472694,8,1978,undetermined,28.718,Spring,6.558
Speyeria aglaja,55.199301,-3.472694,8,1978,undetermined,28.276,Spring,6.558
Speyeria aglaja,51.2695,-0.373578,7,1978,undetermined,28.18,Spring,8.306
Melanargia galathea,51.2695,-0.373578,7,1978,female,26.487,Summer_before,14.794
Melanargia galathea,51.2695,-0.373578,7,1978,male,23.876,Summer_before,14.794
Melanargia galathea,51.2695,-0.373578,7,1978,male,23.635,Summer_before,14.794
Maniola jurtina,50.761012,-3.810213,7,1978,male,21.579,Summer_before,14.171
Maniola jurtina,51.067775,-1.28873,7,1978,male,23.339,Summer_before,14.546
Aglais io,51.099254,-2.938838,8,1978,undetermined,29.474,Summer,14.316
Aglais io,51.067775,-1.28873,8,1978,undetermined,28.045,Summer,14.696
Argynnis paphia,51.067775,-1.28873,7,1978,male,33.592,Summer_before,14.546
Aglais urticae,52.666388,-1.047445,8,1978,undetermined,24.365,Spring,7.497
Aglais urticae,52.666388,-1.047445,8,1978,undetermined,27.055,Spring,7.497
Aglais urticae,50.836456,-0.534602,6,1978,undetermined,25.587,Spring,8.251
Lasiommata megera,50.836456,-0.534602,8,1978,male,21.652,Summer,14.749
Limenitis camilla,50.840232,0.279193,8,1978,undetermined,28.361,Summer_before,14.866
Polygonia c-album,51.067775,-1.28873,6,1979,undetermined,25.743,Spring,7.558
Polygonia c-album,51.297115,-1.944608,6,1979,undetermined,22.719,Spring,7.147
Polygonia c-album,51.297115,-1.944608,6,1979,undetermined,23.682,Spring,7.147
Melanargia galathea,50.840232,0.279193,7,1979,female,26.117,Summer_before,14.811
Maniola jurtina,51.827269,-0.790141,7,1979,male,23.92,Summer_before,14.549
Aglais io,51.067775,-1.28873,8,1979,undetermined,27.761,Summer,15.074
Argynnis paphia,51.067775,-1.28873,7,1979,female,33.537,Summer_before,14.696
Argynnis paphia,51.067775,-1.28873,7,1979,female,35.011,Summer_before,14.696
Argynnis paphia,50.836456,-0.534602,7,1979,female,33.053,Summer_before,14.749
Polygonia c-album,51.067775,-1.28873,6,1980,undetermined,25.341,Spring,8.356
Polygonia c-album,51.067775,-1.28873,6,1980,undetermined,25.221,Spring,8.356
Maniola jurtina,50.761012,-3.810213,7,1980,male,22.936,Summer_before,14.196
Maniola jurtina,50.761012,-3.810213,7,1980,male,22.537,Summer_before,14.196
Argynnis paphia,50.836456,-0.534602,7,1980,male,32.13,Summer_before,15.061
Argynnis paphia,50.836456,-0.534602,7,1980,female,31.522,Summer_before,15.061
Argynnis paphia,50.836456,-0.534602,7,1980,male,30.238,Summer_before,15.061
Argynnis paphia,50.836456,-0.534602,7,1980,female,32.219,Summer_before,15.061
Maniola jurtina,51.827269,-0.790141,7,1981,female,25.22,Summer_before,14.891
Argynnis paphia,50.836456,-0.534602,7,1981,male,29.112,Summer_before,15.009
Argynnis paphia,50.836456,-0.534602,6,1982,male,31.485,Summer_before,15.356
Limenitis camilla,51.067775,-1.28873,6,1982,undetermined,30.577,Summer_before,15.406
Pyronia tithonus,51.067775,-1.28873,7,1983,male,17.7,Summer_before,16.251
