Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length,T_August,T_July,T_June,T_May,T_April,T_March,T_SeptBefore,T_AugustBefore,T_JulyBefore,T_JuneBefore
37,Erynnis tages,Berkshire,VC,6,1885,NA,11.436,51.236,2.392,4.647,14.32923,16.634161,14.209906,8.932015,7.696237,4.352426,14.537566,17.017393,16.040068,13.993114
40,Erynnis tages,Berkshire,VC,6,1885,NA,12.047,54.872,1.876,4.836,14.32923,16.634161,14.209906,8.932015,7.696237,4.352426,14.537566,17.017393,16.040068,13.993114
38,Erynnis tages,Oxfordshire,VC,5,1886,NA,11.85,50.917,2.234,4.699,15.828409,15.985255,13.24377,10.404183,7.621563,3.802963,12.029276,13.763764,16.390112,13.868019
41,Erynnis tages,Oxfordshire,VC,5,1886,NA,12.535,55.909,2.117,5.543,15.828409,15.985255,13.24377,10.404183,7.621563,3.802963,12.029276,13.763764,16.390112,13.868019
34,Thymelicus sylvestris,Surrey,VC,7,1887,male,13.011,63.04,2.046,6.71,16.043722,17.630079,15.115973,9.646569,6.339357,3.487859,14.387921,16.171984,16.208206,13.72234
74,Thymelicus sylvestris,Dorset,VC,7,1887,female,13.456,62.309,2.704,4.589,15.837232,16.99028,15.111225,10.075176,6.074204,3.898348,14.074464,16.080416,16.260925,13.970646
75,Thymelicus sylvestris,Dorset,VC,7,1887,male,12.662,54.059,2.139,5.637,15.837232,16.99028,15.111225,10.075176,6.074204,3.898348,14.074464,16.080416,16.260925,13.970646
42,Erynnis tages,Surrey,VC,5,1888,NA,11.675,52.045,1.893,4.614,14.436812,13.991373,13.727057,10.60177,5.987233,3.483405,11.809381,16.043722,17.630079,15.115973
59,Pyrgus malvae,Hampshire,UA,5,1888,NA,11.62,54.305,2.415,5.148,14.53063,14.090854,13.648742,10.714097,6.110024,3.359372,12.010036,16.156528,17.509233,15.170878
70,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.91,56.503,1.823,7.147,14.380238,13.718801,13.591536,10.37714,5.887013,2.776091,11.825918,15.715539,17.92614,14.777737
71,Thymelicus sylvestris,Norfolk,UA,7,1888,male,12.379,49.372,1.844,6.356,14.380238,13.718801,13.591536,10.37714,5.887013,2.776091,11.825918,15.715539,17.92614,14.777737
11,Erynnis tages,Gloucestershire,UA,5,1890,NA,12.743,58.754,1.825,5.474,14.612985,14.650568,13.813003,11.636373,7.224503,6.114335,13.010235,14.529429,15.208212,15.434496
15,Erynnis tages,Gloucestershire,UA,5,1890,NA,13.172,61.458,2.376,5.474,14.612985,14.650568,13.813003,11.636373,7.224503,6.114335,13.010235,14.529429,15.208212,15.434496
67,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.331,43.632,1.861,4.651,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
68,Pyrgus malvae,Hampshire,UA,5,1890,NA,11.66,52.661,2.334,5.581,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
69,Pyrgus malvae,Hampshire,UA,5,1890,NA,10.427,41.04,1.991,4.781,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
20,Thymelicus sylvestris,Hampshire,UA,8,1890,male,12.409,60.27,2.355,5.74,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
29,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.701,69.184,2.891,7.102,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
30,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.476,66.878,2.871,6.545,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
42,Thymelicus sylvestris,Hampshire,UA,8,1890,female,13.361,64.375,2.829,6.058,15.179356,15.019054,13.86137,12.12913,7.586087,5.962818,13.289347,15.032546,15.746454,15.815042
43,Pyrgus malvae,Devon,UA,5,1891,NA,11.117,46.14,2.419,4.532,14.063274,14.61182,14.461683,9.419308,6.827018,4.094454,14.075069,14.590652,14.278714,13.480564
7,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.542,59.082,1.632,5.763,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
8,Thymelicus sylvestris,Dorset,VC,7,1891,female,12.403,61.414,2.498,5.905,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
9,Thymelicus sylvestris,Hampshire,UA,7,1891,female,12.671,60.851,2.975,5.038,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
10,Thymelicus sylvestris,Hampshire,UA,7,1891,male,12.862,56.812,2.085,6.731,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
17,Thymelicus sylvestris,Dorset,VC,7,1891,male,12.847,65.831,2.271,6.174,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
19,Thymelicus sylvestris,Hampshire,UA,7,1891,female,12.509,56.631,2.26,5.832,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
25,Thymelicus sylvestris,Dorset,VC,7,1891,male,13.193,61.698,2.252,6.567,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
26,Thymelicus sylvestris,Dorset,VC,8,1891,female,13.919,69.37,2.829,6.277,14.449139,15.047814,14.768851,9.787079,6.59582,4.143579,14.593796,15.056428,14.805345,13.687613
28,Thymelicus sylvestris,Hampshire,UA,7,1891,male,11.893,54.76,1.982,6.504,14.660142,15.228122,15.101306,10.06214,6.571131,4.126819,14.737166,15.179356,15.019054,13.86137
63,Hesperia comma,Oxfordshire,VC,8,1892,male,12.434,50.763,2.26,5.558,15.194376,13.823305,13.029943,11.273005,7.321466,2.229453,13.593787,13.895941,14.313052,14.415051
65,Hesperia comma,Dorset,VC,8,1892,male,14.093,62.266,2.332,5.612,15.427505,15.127448,13.715443,11.369221,8.14075,3.211514,14.270996,14.449139,15.047814,14.768851
66,Hesperia comma,Dorset,VC,8,1892,female,14.635,72.874,3.17,6.687,15.427505,15.127448,13.715443,11.369221,8.14075,3.211514,14.270996,14.449139,15.047814,14.768851
43,Erynnis tages,Surrey,VC,5,1893,NA,11.212,51.022,2.031,5.594,17.656199,16.73271,15.582214,13.139494,10.508425,7.116224,12.690432,15.786076,14.542774,13.452332
57,Pyrgus malvae,Hampshire,UA,4,1893,NA,11.029,47.755,2.152,4.227,17.624102,16.807844,15.927785,13.493791,10.986459,7.323246,12.920276,15.92704,14.76823,13.739544
58,Pyrgus malvae,Hampshire,UA,4,1893,NA,10.747,44.459,1.988,5.004,17.624102,16.807844,15.927785,13.493791,10.986459,7.323246,12.920276,15.92704,14.76823,13.739544
60,Pyrgus malvae,Oxfordshire,VC,4,1893,NA,11.162,48.068,2.17,5.238,17.34391,16.311367,15.307489,12.735111,10.305365,7.080157,12.103513,15.194376,13.823305,13.029943
87,Pyrgus malvae,Essex,UA,5,1893,NA,11.172,45.596,1.968,4.918,17.806273,16.673855,15.171771,12.823261,9.693692,7.227513,12.886817,15.834295,14.481362,13.494444
79,Pyrgus malvae,Surrey,VC,5,1895,NA,11.382,51.202,2.115,4.787,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
15,Hesperia comma,Berkshire,VC,8,1895,male,12.84,60.662,2.125,5.865,15.645049,15.693997,14.899685,12.464041,8.417513,5.327674,11.666731,14.602814,15.69195,13.707544
16,Hesperia comma,Berkshire,VC,8,1895,male,12.966,59.901,2.029,5.374,15.645049,15.693997,14.899685,12.464041,8.417513,5.327674,11.666731,14.602814,15.69195,13.707544
17,Hesperia comma,Berkshire,VC,8,1895,female,14.252,77.013,3.683,8.193,15.645049,15.693997,14.899685,12.464041,8.417513,5.327674,11.666731,14.602814,15.69195,13.707544
19,Hesperia comma,Surrey,VC,8,1895,male,11.978,55.106,2.424,6.71,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
20,Hesperia comma,Surrey,VC,8,1895,male,13.21,58.135,2.349,5.224,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
21,Hesperia comma,Surrey,VC,8,1895,female,13.978,71.052,2.913,7.253,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
22,Hesperia comma,Surrey,VC,8,1895,female,13.893,66.478,3.232,5.637,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
25,Hesperia comma,Berkshire,VC,8,1895,female,15.346,77.923,3.138,7.855,15.645049,15.693997,14.899685,12.464041,8.417513,5.327674,11.666731,14.602814,15.69195,13.707544
28,Hesperia comma,Surrey,VC,8,1895,female,14.151,75.923,3.514,7.292,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
29,Hesperia comma,Surrey,VC,8,1895,female,13.777,71.29,3.12,6.633,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
43,Hesperia comma,Surrey,VC,8,1895,male,13.84,61.911,2.292,6.43,15.982302,16.016441,15.050865,12.351727,8.424337,5.407939,11.937741,15.032504,16.05842,13.93518
61,Pyrgus malvae,Oxfordshire,VC,5,1896,NA,11.051,47.125,1.893,4.407,14.295712,16.481052,15.905241,11.522465,8.751658,6.87224,15.418969,15.515078,15.424387,14.614604
83,Pyrgus malvae,Oxfordshire,VC,5,1896,NA,11.13,44.049,1.984,4.262,14.295712,16.481052,15.905241,11.522465,8.751658,6.87224,15.418969,15.515078,15.424387,14.614604
84,Pyrgus malvae,Oxfordshire,VC,5,1896,NA,11.411,51.083,1.968,4.82,14.295712,16.481052,15.905241,11.522465,8.751658,6.87224,15.418969,15.515078,15.424387,14.614604
13,Thymelicus sylvestris,Devon,UA,7,1896,male,12.794,60.115,1.962,5.905,14.775462,16.188066,15.559962,12.610732,9.495384,7.434866,15.436507,14.806207,14.883229,14.414386
27,Thymelicus sylvestris,Oxfordshire,VC,7,1896,male,12.334,55.687,2.168,6.297,14.295712,16.481052,15.905241,11.522465,8.751658,6.87224,15.418969,15.515078,15.424387,14.614604
40,Thymelicus sylvestris,Oxfordshire,VC,7,1896,female,13.492,66.94,2.52,6.506,14.295712,16.481052,15.905241,11.522465,8.751658,6.87224,15.418969,15.515078,15.424387,14.614604
8,Erynnis tages,West Sussex,VC,5,1897,NA,12.191,59.889,2.101,5.923,16.478439,17.065882,15.567665,10.482274,7.579748,6.840889,13.335225,14.933663,17.004402,16.204042
9,Erynnis tages,West Sussex,VC,5,1897,NA,12.302,61.569,2.083,5.096,16.478439,17.065882,15.567665,10.482274,7.579748,6.840889,13.335225,14.933663,17.004402,16.204042
10,Erynnis tages,West Sussex,VC,5,1897,NA,12.135,55.751,2.203,5.473,16.478439,17.065882,15.567665,10.482274,7.579748,6.840889,13.335225,14.933663,17.004402,16.204042
85,Pyrgus malvae,Oxfordshire,VC,5,1897,NA,12.198,56.991,2.246,4.51,15.756438,16.368694,14.869917,9.736147,6.963629,6.518244,12.926691,14.295712,16.481052,15.905241
2,Hesperia comma,Berkshire,VC,8,1897,male,12.199,57.46,2.406,6.464,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
3,Hesperia comma,Berkshire,VC,8,1897,male,14.302,67.56,2.574,5.675,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
4,Hesperia comma,Berkshire,VC,8,1897,male,13.63,65.232,2.763,5.693,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
5,Hesperia comma,Berkshire,VC,8,1897,male,13.516,64.32,2.65,6.182,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
6,Hesperia comma,Berkshire,VC,8,1897,male,12.432,52.286,2.199,4.345,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
7,Hesperia comma,Berkshire,VC,8,1897,female,15.053,81.647,3.007,7.31,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
10,Hesperia comma,Berkshire,VC,8,1897,male,12.837,63.198,2.443,6.107,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
11,Hesperia comma,Berkshire,VC,8,1897,male,13.073,64.621,2.782,5.863,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
12,Hesperia comma,Berkshire,VC,8,1897,male,14.063,66.087,2.65,5.375,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
13,Hesperia comma,Berkshire,VC,8,1897,male,13.069,60.257,2.443,5.581,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
14,Hesperia comma,Berkshire,VC,8,1897,female,15.226,80.599,3.364,6.636,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
18,Hesperia comma,Berkshire,VC,8,1897,male,13.707,59.803,2.762,6.375,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
26,Hesperia comma,Berkshire,VC,8,1897,male,14.61,71.056,2.145,5.487,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
27,Hesperia comma,Berkshire,VC,8,1897,male,13.602,60.282,2.537,6.822,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
35,Hesperia comma,Berkshire,VC,8,1897,female,15.638,83.514,4.115,7.142,15.89169,16.633923,15.122673,9.980959,7.157429,6.639576,13.023543,14.464892,16.671585,16.024151
3,Thymelicus sylvestris,Devon,UA,8,1897,female,14.038,65.413,2.011,5.517,15.614651,16.65719,15.187588,10.307008,7.741212,6.919871,13.110121,14.775462,16.188066,15.559962
18,Thymelicus sylvestris,Oxfordshire,VC,7,1897,male,12.42,60.322,2.209,7.681,15.756438,16.368694,14.869917,9.736147,6.963629,6.518244,12.926691,14.295712,16.481052,15.905241
39,Thymelicus sylvestris,Oxfordshire,VC,7,1897,male,12.974,57.995,1.817,6.876,15.756438,16.368694,14.869917,9.736147,6.963629,6.518244,12.926691,14.295712,16.481052,15.905241
49,Thymelicus sylvestris,Oxfordshire,VC,7,1897,female,12.582,55.64,2.354,6.113,15.756438,16.368694,14.869917,9.736147,6.963629,6.518244,12.926691,14.295712,16.481052,15.905241
50,Thymelicus sylvestris,Oxfordshire,VC,7,1897,female,13.442,62.781,3.159,6.545,15.756438,16.368694,14.869917,9.736147,6.963629,6.518244,12.926691,14.295712,16.481052,15.905241
36,Hesperia comma,Surrey,VC,8,1898,female,15.422,80.647,3.383,6.314,17.320875,16.135557,13.662127,11.016603,8.250212,4.255689,12.2271,16.474915,16.992447,15.426762
44,Hesperia comma,Surrey,VC,4,1898,female,13.414,61.676,2.95,5.092,17.320875,16.135557,13.662127,11.016603,8.250212,4.255689,12.2271,16.474915,16.992447,15.426762
55,Hesperia comma,Surrey,VC,8,1898,female,13.507,62.708,2.481,5.321,17.320875,16.135557,13.662127,11.016603,8.250212,4.255689,12.2271,16.474915,16.992447,15.426762
56,Hesperia comma,Surrey,VC,8,1898,female,14.184,67.774,3.025,6.277,17.320875,16.135557,13.662127,11.016603,8.250212,4.255689,12.2271,16.474915,16.992447,15.426762
35,Erynnis tages,Hampshire,UA,6,1899,NA,11.745,51.073,1.962,3.786,18.675024,18.157152,15.836149,10.566374,8.249343,5.122587,15.787037,17.087675,16.283031,13.715682
36,Erynnis tages,Hampshire,UA,6,1899,NA,12.536,59.036,1.877,4.973,18.675024,18.157152,15.836149,10.566374,8.249343,5.122587,15.787037,17.087675,16.283031,13.715682
39,Erynnis tages,Hampshire,UA,6,1899,NA,12.778,62.031,2.169,4.269,18.675024,18.157152,15.836149,10.566374,8.249343,5.122587,15.787037,17.087675,16.283031,13.715682
6,Thymelicus sylvestris,Dorset,VC,7,1899,female,12.865,56.919,2.602,5.678,17.817974,17.086449000000002,15.959234,10.572321,8.086015,5.669073,15.849049,16.715612,16.187494,13.678517
15,Thymelicus sylvestris,Dorset,VC,7,1899,female,13.958,62.193,2.643,6.216,17.817974,17.086449000000002,15.959234,10.572321,8.086015,5.669073,15.849049,16.715612,16.187494,13.678517
24,Thymelicus sylvestris,Dorset,VC,7,1899,female,13.512,72.251,2.48,6.609,17.817974,17.086449000000002,15.959234,10.572321,8.086015,5.669073,15.849049,16.715612,16.187494,13.678517
24,Erynnis tages,Buckinghamshire,VC,5,1900,NA,12.35,60.366,2.152,5.562,15.379602,18.122313,14.500328,10.263393,7.914626,3.318129,13.665626,17.968586,17.759342,15.057614
30,Erynnis tages,Buckinghamshire,VC,6,1900,NA,12.85,63.047,1.928,4.841,15.379602,18.122313,14.500328,10.263393,7.914626,3.318129,13.665626,17.968586,17.759342,15.057614
32,Erynnis tages,Buckinghamshire,VC,5,1900,NA,12.366,60.463,1.894,4.631,15.379602,18.122313,14.500328,10.263393,7.914626,3.318129,13.665626,17.968586,17.759342,15.057614
70,Pyrgus malvae,Oxfordshire,VC,5,1900,NA,11.53,51.319,2.246,5.18,15.179111,17.776217,14.132282,9.782958,7.81856,3.112555,13.49314,17.871969,17.52261,15.053032
76,Pyrgus malvae,Oxfordshire,VC,5,1900,NA,11.561,52.556,2.311,4.672,15.179111,17.776217,14.132282,9.782958,7.81856,3.112555,13.49314,17.871969,17.52261,15.053032
82,Pyrgus malvae,Surrey,VC,6,1900,NA,12.208,53.541,2.46,4.836,15.757407,18.487364,14.682467,10.730083,8.306919,3.949978,14.331018,18.826656,18.504614,15.651691
50,Hesperia comma,Surrey,VC,8,1900,male,13.153,61.081,2.142,6.053,15.757407,18.487364,14.682467,10.730083,8.306919,3.949978,14.331018,18.826656,18.504614,15.651691
44,Thymelicus sylvestris,Isle of Wight,VC,7,1900,male,12.865,56.324,2.003,6.132,16.606216,18.057915,14.742897,10.897053,8.864399,4.563287,15.384727,19.336884,18.290958,16.101156
45,Thymelicus sylvestris,Surrey,VC,8,1900,female,13.274,64.571,2.42,5.286,15.757407,18.487364,14.682467,10.730083,8.306919,3.949978,14.331018,18.826656,18.504614,15.651691
25,Erynnis tages,Buckinghamshire,VC,5,1901,NA,12.821,62.344,2.134,4.323,15.966933,17.576979,13.929451,10.923537,8.307977,3.678891,13.482835,15.379602,18.122313,14.500328
29,Erynnis tages,Buckinghamshire,VC,5,1901,NA,12.543,60.674,2.151,4.478,15.966933,17.576979,13.929451,10.923537,8.307977,3.678891,13.482835,15.379602,18.122313,14.500328
31,Erynnis tages,Buckinghamshire,VC,5,1901,NA,11.808,53.27,2.05,4.546,15.966933,17.576979,13.929451,10.923537,8.307977,3.678891,13.482835,15.379602,18.122313,14.500328
62,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.959,53.397,2.513,4.602,15.618863,17.469416,13.666178,10.758775,8.143913,3.791172,13.310598,15.179111,17.776217,14.132282
71,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.225,49.49,2.197,5.165,15.618863,17.469416,13.666178,10.758775,8.143913,3.791172,13.310598,15.179111,17.776217,14.132282
75,Pyrgus malvae,Hampshire,UA,5,1901,NA,11.144,48.913,2.016,5.051,16.116051,17.683449,14.163962,11.48357,8.526914,4.05759,13.914359,15.811571,18.101545,14.51477
77,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.766,53.504,2.362,5.164,15.618863,17.469416,13.666178,10.758775,8.143913,3.791172,13.310598,15.179111,17.776217,14.132282
51,Hesperia comma,Surrey,VC,8,1901,female,13.803,65.635,3.44,6.088,16.422752,17.783491,14.270461,11.28175,8.43957,3.975497,13.935666,15.757407,18.487364,14.682467
57,Hesperia comma,Surrey,VC,8,1901,male,13.053,55.736,2.241,5.703,16.422752,17.783491,14.270461,11.28175,8.43957,3.975497,13.935666,15.757407,18.487364,14.682467
58,Hesperia comma,Surrey,VC,8,1901,female,13.816,70.664,3.17,6.433,16.422752,17.783491,14.270461,11.28175,8.43957,3.975497,13.935666,15.757407,18.487364,14.682467
61,Hesperia comma,Surrey,VC,8,1901,male,12.204,51.093,2.244,4.647,16.422752,17.783491,14.270461,11.28175,8.43957,3.975497,13.935666,15.757407,18.487364,14.682467
62,Hesperia comma,Surrey,VC,8,1901,male,13.087,56.306,2.551,4.901,16.422752,17.783491,14.270461,11.28175,8.43957,3.975497,13.935666,15.757407,18.487364,14.682467
86,Pyrgus malvae,Oxfordshire,VC,5,1902,NA,12.091,54.146,2.377,4.001,14.414433,14.76796,13.204413,8.533429,7.154634,6.486441,13.363194,15.618863,17.469416,13.666178
35,Thymelicus sylvestris,Surrey,VC,7,1903,male,12.738,59.459,1.363,5.989,14.919443,15.844425,12.883763,11.487064,6.485813,7.29981,13.221333,15.102212,15.572451,13.928851
23,Hesperia comma,Surrey,VC,8,1904,male,13.275,62.747,2.031,5.243,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
24,Hesperia comma,Surrey,VC,8,1904,male,13.705,66.836,2.255,5.149,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
30,Hesperia comma,Surrey,VC,8,1904,male,13.143,61.251,1.992,6.239,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
31,Hesperia comma,Surrey,VC,8,1904,female,14.285,78.181,3.589,7.309,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
32,Hesperia comma,Surrey,VC,8,1904,female,14.267,78.274,3.457,7.253,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
33,Hesperia comma,Surrey,VC,8,1904,male,12.708,59.059,1.937,5.901,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
41,Hesperia comma,Surrey,VC,8,1904,female,14.966,81.77,3.852,7.536,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
42,Hesperia comma,Surrey,VC,8,1904,female,15.23,80.679,3.29,7.163,15.879501,17.825272,13.863856,11.502216,9.103109,4.410146,13.668086,14.919443,15.844425,12.883763
59,Thymelicus sylvestris,Oxfordshire,VC,7,1904,male,13.649,64.589,1.739,6.579,14.880263,17.073296,12.953068,10.530526,8.630345,3.949844,12.804362,13.915534,15.058828,12.135314
67,Thymelicus sylvestris,Dorset,VC,8,1904,female,12.445,58.164,2.368,5.911,15.22199,16.665499,13.364989,10.914582,8.741666,4.601786,13.302164,14.398789,15.362531,12.797175
21,Erynnis tages,Surrey,VC,5,1905,NA,12.791,63.739,1.91,4.872,15.310223,18.121618,14.959064,11.112267,7.788753,6.814688,12.528646,15.879501,17.825272,13.863856
36,Pyrgus malvae,Devon,UA,5,1905,NA,12.032,56.425,2.527,5.218,14.698676,16.939812,14.424382,10.602146,8.334873,6.921481,12.727255,15.035318,16.684172,13.176682
50,Pyrgus malvae,Devon,UA,5,1905,NA,10.134,41.454,1.873,4.491,14.698676,16.939812,14.424382,10.602146,8.334873,6.921481,12.727255,15.035318,16.684172,13.176682
80,Pyrgus malvae,Surrey,VC,5,1905,NA,10.213,39.946,1.787,4.069,15.310223,18.121618,14.959064,11.112267,7.788753,6.814688,12.528646,15.879501,17.825272,13.863856
68,Thymelicus sylvestris,Essex,UA,7,1905,female,13.147,57.359,2.368,5.05,15.692523,18.439575,14.97038,10.926364,7.565106,6.825764,12.924326,16.099321,17.850203,13.718823
33,Erynnis tages,Buckinghamshire,VC,5,1906,NA,12.226,57.667,2.136,4.897,17.236553,16.168537,13.706278,10.586218,6.97344,4.760283,12.408498,14.788069,17.762293,14.584011
72,Pyrgus malvae,Oxfordshire,VC,5,1906,NA,11.811,56.466,2.213,4.541,17.028835,15.778693,13.607021,10.280755,6.872184,4.634469,12.043947,14.504838,17.429937,14.319022
69,Thymelicus sylvestris,Essex,UA,7,1906,male,13.251,55.815,1.992,6.628,17.721949,16.636606,13.597151,11.113619,6.913634,4.764253,13.383445,15.692523,18.439575,14.97038
1,Erynnis tages,Surrey,VC,5,1907,NA,11.411,52.948,2.755,4.613,15.148057,14.499305,13.158772,11.03394,7.76296,6.136544,14.354522,17.328424,16.564415,13.853416
81,Pyrgus malvae,Surrey,VC,5,1907,NA,10.824,42.474,2.082,4.459,15.148057,14.499305,13.158772,11.03394,7.76296,6.136544,14.354522,17.328424,16.564415,13.853416
16,Erynnis tages,Surrey,VC,5,1908,NA,11.623,59.297,1.91,4.855,15.187119,16.333244,14.938908,12.64607,6.243822,4.288996,14.198348,15.148057,14.499305,13.158772
17,Erynnis tages,Surrey,VC,5,1908,NA,11.478,55.446,1.947,4.716,15.187119,16.333244,14.938908,12.64607,6.243822,4.288996,14.198348,15.148057,14.499305,13.158772
26,Erynnis tages,Buckinghamshire,VC,5,1908,NA,12.568,62.12,2.186,5.026,14.763743,16.130074,14.568639,12.699392,5.811521,4.028703,13.729462,14.764187,14.074471,12.877606
13,Erynnis tages,Surrey,VC,5,1909,NA,12.316,58.003,1.876,5.269,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
22,Erynnis tages,Surrey,VC,5,1909,NA,12.416,60.96,2.048,4.836,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
23,Erynnis tages,Surrey,VC,5,1909,NA,13.146,63.402,1.928,5.146,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
33,Thymelicus sylvestris,Surrey,VC,7,1909,male,12.745,56.577,2.089,5.617,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
36,Thymelicus sylvestris,Surrey,VC,7,1909,male,13.832,64.094,2.189,6.287,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
41,Thymelicus sylvestris,Surrey,VC,7,1909,male,13.925,63.534,2.293,6.816,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
47,Thymelicus sylvestris,Surrey,VC,7,1909,male,12.626,60.221,1.817,5.557,16.239874,15.231488,12.109821,10.894188,8.788184,3.496618,12.899847,15.187119,16.333244,14.938908
28,Erynnis tages,Buckinghamshire,VC,5,1910,NA,12.857,58.967,2.083,5.233,15.381995,14.271595,15.084893,11.309546,7.451611,5.409842,12.021548,15.867161,14.998348,11.798472
40,Pyrgus malvae,Cornwall,UA,6,1910,NA,11.38,49.76,2.364,4.164,15.18025,14.475148,13.773746,11.348506,7.440086,6.826308,12.886645,16.03496,14.592214,12.217702
48,Pyrgus malvae,Cornwall,UA,6,1910,NA,10.414,43.517,2.382,4.237,15.18025,14.475148,13.773746,11.348506,7.440086,6.826308,12.886645,16.03496,14.592214,12.217702
78,Pyrgus malvae,Berkshire,VC,5,1910,NA,11.628,49.748,2.197,5.147,15.183425,14.154004,14.802117,11.214159,7.311346,5.470296,11.944811,15.779107,14.8775,11.751173
