VCNUMBER,VCNAME,MidDate,Year,Month,Mid,MeanTemp,Season
78,Peeblesshire,1903-01-16,1903,1,16,2.403003454208374,Winter
78,Peeblesshire,1903-04-16,1903,4,16,4.953481674194336,Spring
78,Peeblesshire,1903-07-16,1903,7,16,11.179424285888672,Summer
78,Peeblesshire,1903-10-16,1903,10,16,6.902685165405273,Autumn
78,Peeblesshire,1904-01-16,1904,1,16,1.2014868259429932,Winter
78,Peeblesshire,1904-04-16,1904,4,16,4.9296135902404785,Spring
78,Peeblesshire,1904-07-16,1904,7,16,11.596258163452148,Summer
78,Peeblesshire,1904-10-16,1904,10,16,6.845768928527832,Autumn
78,Peeblesshire,1905-01-16,1905,1,16,2.190998077392578,Winter
78,Peeblesshire,1905-04-16,1905,4,16,5.515353202819824,Spring
78,Peeblesshire,1905-07-16,1905,7,16,12.266287803649902,Summer
78,Peeblesshire,1905-10-16,1905,10,16,5.83841609954834,Autumn
78,Peeblesshire,1906-01-16,1906,1,16,2.5568900108337402,Winter
78,Peeblesshire,1906-04-16,1906,4,16,4.834108829498291,Spring
78,Peeblesshire,1906-07-16,1906,7,16,12.339384078979492,Summer
78,Peeblesshire,1906-10-16,1906,10,16,7.980495452880859,Autumn
78,Peeblesshire,1907-01-16,1907,1,16,1.2325451374053955,Winter
78,Peeblesshire,1907-04-16,1907,4,16,5.310033798217773,Spring
78,Peeblesshire,1907-07-16,1907,7,16,10.559682846069336,Summer
78,Peeblesshire,1907-10-16,1907,10,16,7.017632484436035,Autumn
78,Peeblesshire,1908-01-16,1908,1,16,2.018428325653076,Winter
78,Peeblesshire,1908-04-16,1908,4,16,4.693950653076172,Spring
78,Peeblesshire,1908-07-16,1908,7,16,11.804516792297363,Summer
78,Peeblesshire,1908-10-16,1908,10,16,8.261364936828613,Autumn
78,Peeblesshire,1909-01-16,1909,1,16,1.5938446521759033,Winter
78,Peeblesshire,1909-04-16,1909,4,16,4.601159572601318,Spring
78,Peeblesshire,1909-07-16,1909,7,16,11.119511604309082,Summer
78,Peeblesshire,1909-10-16,1909,10,16,5.769518852233887,Autumn
78,Peeblesshire,1910-01-16,1910,1,16,0.7653604745864868,Winter
78,Peeblesshire,1910-04-16,1910,4,16,5.141507148742676,Spring
78,Peeblesshire,1910-07-16,1910,7,16,11.587072372436523,Summer
