Individual,Taxon name,Location,LocationType,Month,Year,Sex,Wing_Length,Forewing_Area,Abdomen_Width,Abdomen_Length
11,Hesperia comma,Berkshire,VC,8,1897,male,13.073,64.621,2.782,5.863
12,Hesperia comma,Berkshire,VC,8,1897,male,14.063,66.087,2.65,5.375
13,Hesperia comma,Berkshire,VC,8,1897,male,13.069,60.257,2.443,5.581
14,Hesperia comma,Berkshire,VC,8,1897,female,15.226,80.599,3.364,6.636
18,Hesperia comma,Berkshire,VC,8,1897,male,13.707,59.803,2.762,6.375
26,Hesperia comma,Berkshire,VC,8,1897,male,14.61,71.056,2.145,5.487
27,Hesperia comma,Berkshire,VC,8,1897,male,13.602,60.282,2.537,6.822
35,Hesperia comma,Berkshire,VC,8,1897,female,15.638,83.514,4.115,7.142
3,Thymelicus sylvestris,Devon,UA,8,1897,female,14.038,65.413,2.011,5.517
18,Thymelicus sylvestris,Oxfordshire,VC,7,1897,male,12.42,60.322,2.209,7.681
39,Thymelicus sylvestris,Oxfordshire,VC,7,1897,male,12.974,57.995,1.817,6.876
49,Thymelicus sylvestris,Oxfordshire,VC,7,1897,female,12.582,55.64,2.354,6.113
50,Thymelicus sylvestris,Oxfordshire,VC,7,1897,female,13.442,62.781,3.159,6.545
36,Hesperia comma,Surrey,VC,8,1898,female,15.422,80.647,3.383,6.314
44,Hesperia comma,Surrey,VC,4,1898,female,13.414,61.676,2.95,5.092
55,Hesperia comma,Surrey,VC,8,1898,female,13.507,62.708,2.481,5.321
56,Hesperia comma,Surrey,VC,8,1898,female,14.184,67.774,3.025,6.277
35,Erynnis tages,Hampshire,UA,6,1899,NA,11.745,51.073,1.962,3.786
36,Erynnis tages,Hampshire,UA,6,1899,NA,12.536,59.036,1.877,4.973
39,Erynnis tages,Hampshire,UA,6,1899,NA,12.778,62.031,2.169,4.269
6,Thymelicus sylvestris,Dorset,VC,7,1899,female,12.865,56.919,2.602,5.678
15,Thymelicus sylvestris,Dorset,VC,7,1899,female,13.958,62.193,2.643,6.216
24,Thymelicus sylvestris,Dorset,VC,7,1899,female,13.512,72.251,2.48,6.609
24,Erynnis tages,Buckinghamshire,VC,5,1900,NA,12.35,60.366,2.152,5.562
30,Erynnis tages,Buckinghamshire,VC,6,1900,NA,12.85,63.047,1.928,4.841
32,Erynnis tages,Buckinghamshire,VC,5,1900,NA,12.366,60.463,1.894,4.631
70,Pyrgus malvae,Oxfordshire,VC,5,1900,NA,11.53,51.319,2.246,5.18
76,Pyrgus malvae,Oxfordshire,VC,5,1900,NA,11.561,52.556,2.311,4.672
82,Pyrgus malvae,Surrey,VC,6,1900,NA,12.208,53.541,2.46,4.836
50,Hesperia comma,Surrey,VC,8,1900,male,13.153,61.081,2.142,6.053
44,Thymelicus sylvestris,Isle of Wight,VC,7,1900,male,12.865,56.324,2.003,6.132
45,Thymelicus sylvestris,Surrey,VC,8,1900,female,13.274,64.571,2.42,5.286
25,Erynnis tages,Buckinghamshire,VC,5,1901,NA,12.821,62.344,2.134,4.323
29,Erynnis tages,Buckinghamshire,VC,5,1901,NA,12.543,60.674,2.151,4.478
31,Erynnis tages,Buckinghamshire,VC,5,1901,NA,11.808,53.27,2.05,4.546
62,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.959,53.397,2.513,4.602
71,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.225,49.49,2.197,5.165
75,Pyrgus malvae,Hampshire,UA,5,1901,NA,11.144,48.913,2.016,5.051
77,Pyrgus malvae,Oxfordshire,VC,5,1901,NA,11.766,53.504,2.362,5.164
51,Hesperia comma,Surrey,VC,8,1901,female,13.803,65.635,3.44,6.088
54,Hesperia comma,West Sussex,VC,NA,1901,female,14.054,76.728,3.534,6.335
57,Hesperia comma,Surrey,VC,8,1901,male,13.053,55.736,2.241,5.703
58,Hesperia comma,Surrey,VC,8,1901,female,13.816,70.664,3.17,6.433
61,Hesperia comma,Surrey,VC,8,1901,male,12.204,51.093,2.244,4.647
62,Hesperia comma,Surrey,VC,8,1901,male,13.087,56.306,2.551,4.901
86,Pyrgus malvae,Oxfordshire,VC,5,1902,NA,12.091,54.146,2.377,4.001
1,Hesperia comma,Dorset,VC,NA,1902,male,11.936,55.164,2.029,5.261
8,Hesperia comma,Dorset,VC,NA,1902,male,12.796,58.819,2.575,5.393
35,Thymelicus sylvestris,Surrey,VC,7,1903,male,12.738,59.459,1.363,5.989
23,Hesperia comma,Surrey,VC,8,1904,male,13.275,62.747,2.031,5.243
24,Hesperia comma,Surrey,VC,8,1904,male,13.705,66.836,2.255,5.149
30,Hesperia comma,Surrey,VC,8,1904,male,13.143,61.251,1.992,6.239
31,Hesperia comma,Surrey,VC,8,1904,female,14.285,78.181,3.589,7.309
32,Hesperia comma,Surrey,VC,8,1904,female,14.267,78.274,3.457,7.253
33,Hesperia comma,Surrey,VC,8,1904,male,12.708,59.059,1.937,5.901
41,Hesperia comma,Surrey,VC,8,1904,female,14.966,81.77,3.852,7.536
42,Hesperia comma,Surrey,VC,8,1904,female,15.23,80.679,3.29,7.163
59,Thymelicus sylvestris,Oxfordshire,VC,7,1904,male,13.649,64.589,1.739,6.579
67,Thymelicus sylvestris,Dorset,VC,8,1904,female,12.445,58.164,2.368,5.911
21,Erynnis tages,Surrey,VC,5,1905,NA,12.791,63.739,1.91,4.872
36,Pyrgus malvae,Devon,UA,5,1905,NA,12.032,56.425,2.527,5.218
50,Pyrgus malvae,Devon,UA,5,1905,NA,10.134,41.454,1.873,4.491
80,Pyrgus malvae,Surrey,VC,5,1905,NA,10.213,39.946,1.787,4.069
68,Thymelicus sylvestris,Essex,UA,7,1905,female,13.147,57.359,2.368,5.05
33,Erynnis tages,Buckinghamshire,VC,5,1906,NA,12.226,57.667,2.136,4.897
72,Pyrgus malvae,Oxfordshire,VC,5,1906,NA,11.811,56.466,2.213,4.541
52,Hesperia comma,Surrey,VC,NA,1906,female,13.382,67.033,3.326,6.54
53,Hesperia comma,Surrey,VC,NA,1906,female,15.336,75.873,3.138,6.918
59,Hesperia comma,Surrey,VC,NA,1906,male,13.176,56.104,2.552,6.541
60,Hesperia comma,Surrey,VC,NA,1906,female,14.341,70.048,2.897,6.45
69,Thymelicus sylvestris,Essex,UA,7,1906,male,13.251,55.815,1.992,6.628
1,Erynnis tages,Surrey,VC,5,1907,NA,11.411,52.948,2.755,4.613
81,Pyrgus malvae,Surrey,VC,5,1907,NA,10.824,42.474,2.082,4.459
16,Erynnis tages,Surrey,VC,5,1908,NA,11.623,59.297,1.91,4.855
17,Erynnis tages,Surrey,VC,5,1908,NA,11.478,55.446,1.947,4.716
26,Erynnis tages,Buckinghamshire,VC,5,1908,NA,12.568,62.12,2.186,5.026
13,Erynnis tages,Surrey,VC,5,1909,NA,12.316,58.003,1.876,5.269
22,Erynnis tages,Surrey,VC,5,1909,NA,12.416,60.96,2.048,4.836
23,Erynnis tages,Surrey,VC,5,1909,NA,13.146,63.402,1.928,5.146
33,Thymelicus sylvestris,Surrey,VC,7,1909,male,12.745,56.577,2.089,5.617
36,Thymelicus sylvestris,Surrey,VC,7,1909,male,13.832,64.094,2.189,6.287
41,Thymelicus sylvestris,Surrey,VC,7,1909,male,13.925,63.534,2.293,6.816
47,Thymelicus sylvestris,Surrey,VC,7,1909,male,12.626,60.221,1.817,5.557
28,Erynnis tages,Buckinghamshire,VC,5,1910,NA,12.857,58.967,2.083,5.233
40,Pyrgus malvae,Cornwall,UA,6,1910,NA,11.38,49.76,2.364,4.164
48,Pyrgus malvae,Cornwall,UA,6,1910,NA,10.414,43.517,2.382,4.237
78,Pyrgus malvae,Berkshire,VC,5,1910,NA,11.628,49.748,2.197,5.147
2,Thymelicus sylvestris,Cornwall,UA,7,1910,male,13.257,66.759,2.374,7.082
11,Thymelicus sylvestris,Cornwall,UA,7,1910,male,12.262,54.045,2.499,7.123
12,Thymelicus sylvestris,Cornwall,UA,7,1910,male,12.89,63.758,2.374,6.731
21,Thymelicus sylvestris,Cornwall,UA,7,1910,male,14.459,69.046,2.168,6.869
